source,review_id,group_id,continuity_correction_rule,start_order,start_name,initial_log_l00,initial_l10,initial_log_l11,optimizer_success,optimizer_status,optimizer_message,optimizer_iterations,optimizer_reported_objective,endpoint_log_l00,endpoint_l10,endpoint_log_l11,endpoint_log_l00_at_lower_bound,endpoint_log_l11_at_lower_bound,raw_gradient_log_l00,raw_gradient_l10,raw_gradient_log_l11,raw_gradient_max_abs,projected_kkt_gradient_log_l00,projected_kkt_gradient_l10,projected_kkt_gradient_log_l11,projected_kkt_gradient_max_abs,recomputed_objective,sensitivity,specificity,reported_token_signature,finite_recomputed_objective,covariance_matrices_psd,valid_endpoint,selected,numerical_tie_with_minimum,objective_delta_from_minimum,maximum_central_probability_delta_from_minimum
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,0,empirical,-0.08618235536674121,-0.45622742267237154,0.23915508878179467,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,71.15102198613835,-0.3727853890528613,-0.38963185634716224,0.1393724857978607,False,False,2.842170944536394e-06,-1.421085472268197e-06,0.0,2.842170944536394e-06,2.842170944536394e-06,-1.421085472268197e-06,0.0,2.842170944536394e-06,71.15102198613835,0.6800597305703625,0.8730426861778967,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,False,True,2.7000623958883807e-13,4.819038501580053e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,1,minus2_zero_minus2,-2.0,0.0,-2.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,71.15102198613808,-0.3727855082543346,-0.3896316693930694,0.13937251118652455,False,False,0.0,-1.421085472268197e-06,1.421085472268197e-06,1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,1.421085472268197e-06,71.15102198613808,0.680059725751324,0.8730426859390579,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,True,True,0.0,0.0
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,2,zero_zero_zero,0.0,0.0,0.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,71.15102198613812,-0.3727854820707542,-0.3896317840861916,0.13937250179070027,False,False,0.0,0.0,4.263256416804591e-06,4.263256416804591e-06,0.0,0.0,4.263256416804591e-06,4.263256416804591e-06,71.15102198613812,0.6800597265946199,0.8730426861843661,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,False,True,4.263256414560601e-14,8.432958775728139e-10
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,3,one_zero_one,1.0,0.0,1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,71.15102198613869,-0.3727854450779914,-0.3896320022625505,0.13937245167012374,False,False,1.421085472268197e-06,-2.842170944536394e-06,0.0,2.842170944536394e-06,1.421085472268197e-06,-2.842170944536394e-06,0.0,2.842170944536394e-06,71.15102198613869,0.6800597277272933,0.8730426860936913,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,False,True,6.110667527536862e-13,1.975969277090428e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,4,lower_zero_lower,-8.0,0.0,-8.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,86.80560793425957,-0.9901531035940577,-1.1878199791954656,-7.997827368030984,False,False,1.421085464379588e-06,-1.4210854801568062e-06,-7.105427400784031e-06,7.105427400784031e-06,1.421085464379588e-06,-1.4210854801568062e-06,-7.105427400784031e-06,7.105427400784031e-06,86.80560793425957,0.6218723758993909,0.8693168892188738,62.2%|86.9%|0.6219|0.8693|0.5744|0.8237|0.6671|0.9045|0.4361|0.3870|0.7776|0.9859|0.137|0.1373,True,True,True,False,False,15.654585948121493,0.05818734985193308
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,5,minus1_plus2_minus1,-1.0,2.0,-1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,71.15102198613809,-0.3727854937020252,-0.38963169727253505,0.13937247977172182,False,False,0.0,0.0,-1.421085472268197e-06,1.421085472268197e-06,0.0,0.0,-1.421085472268197e-06,1.421085472268197e-06,71.15102198613809,0.6800597264119561,0.8730426854984379,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,False,True,1.4210854715202004e-14,6.60632104576564e-10
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,zero_cell_triggered,6,minus1_minus2_minus1,-1.0,-2.0,-1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,71.15102198613809,-0.3727854750521891,-0.38963163581833005,0.13937251293633737,False,False,1.421085472268197e-06,0.0,1.421085472268197e-06,1.421085472268197e-06,1.421085472268197e-06,0.0,1.421085472268197e-06,1.421085472268197e-06,71.15102198613809,0.6800597273304037,0.8730426858566491,68.0%|87.3%|0.6801|0.8730|0.6148|0.8274|0.7389|0.9080|0.3484|0.3827|0.8942|0.9871|0.171|0.1709,True,True,True,False,True,1.4210854715202004e-14,1.5790796448200695e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,zero_cell_triggered,0,empirical,0.6998015510223974,-0.49942543662960154,-1.9260112175887776,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,11.157675879044774,0.6500559056455801,-0.6793700676447181,-8.0,False,True,3.55271366094897e-07,0.0,3.5527137003920156e-07,3.5527137003920156e-07,3.55271366094897e-07,0.0,0.0,3.55271366094897e-07,11.157675879044774,0.44248253172819935,0.9680136747375534,44.2%|96.8%|0.4425|0.9680|0.1424|0.9309|0.7914|0.9855|0.0134|0.8643|0.9789|0.9931|0.151|0.1506,True,True,True,False,True,1.2434497875801753e-14,2.5684670501568974e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,zero_cell_triggered,1,minus2_zero_minus2,-2.0,0.0,-2.0,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33,11.157675879044763,0.6500558597807256,-0.6793700623797314,-8.0,False,True,0.0,0.0,3.5527137003920156e-07,3.5527137003920156e-07,0.0,0.0,0.0,0.0,11.157675879044763,0.44248252966431556,0.9680136749243291,44.2%|96.8%|0.4425|0.9680|0.1424|0.9309|0.7914|0.9855|0.0134|0.8643|0.9789|0.9931|0.151|0.1506,True,True,True,True,True,1.7763568394002505e-15,5.045832640604431e-10
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,zero_cell_triggered,2,zero_zero_zero,0.0,0.0,0.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,11.157675879044762,0.650055847483462,-0.6793700587639045,-8.0,False,True,1.776356830474485e-07,0.0,5.329070550588023e-07,5.329070550588023e-07,1.776356830474485e-07,0.0,0.0,1.776356830474485e-07,11.157675879044762,0.4424825291597323,0.968013674948654,44.2%|96.8%|0.4425|0.9680|0.1424|0.9309|0.7914|0.9855|0.0134|0.8643|0.9789|0.9931|0.151|0.1506,True,True,True,False,True,0.0,0.0
