source,review_id,group_id,studies,zero_cell_study_count,zero_cell_study_fraction,canonical_continuity_correction_rule,sensitivity_continuity_correction_rule,canonical_sensitivity,zero_cell_triggered_sensitivity,absolute_sensitivity_difference,canonical_specificity,zero_cell_triggered_specificity,absolute_specificity_difference,canonical_information_bits_at_20_percent,zero_cell_triggered_information_bits_at_20_percent,absolute_information_bits_at_20_percent_difference,optimizer_converged,optimizer_iterations,optimizer_max_abs_gradient,optimizer_projected_kkt_gradient_log_l00,optimizer_projected_kkt_gradient_l10,optimizer_projected_kkt_gradient_log_l11,optimizer_projected_kkt_gradient_max_abs,optimizer_parameter_log_l00,optimizer_parameter_l10,optimizer_parameter_log_l11,optimizer_tied_solution_log_l00_at_lower_bound,optimizer_tied_solution_log_l11_at_lower_bound,optimizer_selected_log_l00_at_lower_bound,optimizer_selected_log_l11_at_lower_bound,optimizer_hard_bound_atol,optimizer_multistart_count,optimizer_valid_start_count,optimizer_selected_start,optimizer_selected_start_order,optimizer_minimum_recomputed_objective,optimizer_selected_objective_delta_from_minimum,optimizer_objective_gap_to_second_best,optimizer_objective_gap_to_next_distinct_basin,optimizer_valid_objective_range,optimizer_valid_sensitivity_range,optimizer_valid_specificity_range,optimizer_alternative_rounded_claim_changed_across_starts,optimizer_empirical_start_valid,optimizer_empirical_to_selected_objective_delta,optimizer_empirical_to_selected_sensitivity_delta,optimizer_empirical_to_selected_specificity_delta,optimizer_rounded_claim_changed_from_empirical,optimizer_material_objective_path_dependence,optimizer_material_central_path_dependence,optimizer_material_path_dependence,optimizer_path_dependence_class,optimizer_selected_log_l00_distance_to_lower_bound,optimizer_selected_log_l00_in_1e_6_to_1e_4_ambiguity_band,optimizer_selected_log_l11_distance_to_lower_bound,optimizer_selected_log_l11_in_1e_6_to_1e_4_ambiguity_band,optimizer_any_tied_solution_cholesky_diagonal_at_lower_bound
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,50,13,0.26,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.66739819853567,0.680059725751324,0.012661527215654056,0.8685376940184669,0.8730426859390579,0.0045049919205909505,0.16012670835262616,0.17089835254780766,0.010771644195181507,True,14,1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,1.421085472268197e-06,-0.3727855082543346,-0.3896316693930694,0.13937251118652455,False,False,False,False,1e-06,7,7,minus2_zero_minus2,1,71.15102198613808,0.0,1.4210854715202004e-14,15.654585948121493,15.654585948121493,0.05818735467097158,0.003725796965492245,True,True,2.7000623958883807e-13,4.819038501580053e-09,2.388388375962336e-10,False,False,False,False,numerically_equivalent,7.627214491745665,False,8.139372511186524,False,False
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,7,3,0.42857142857142855,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.44157331633329416,0.44248252966431556,0.0009092133310213968,0.9643787328215978,0.9680136749243291,0.003634942102731298,0.14462673230646295,0.15062501463342604,0.005998282326963089,True,33,3.5527137003920156e-07,0.0,0.0,0.0,0.0,0.6500558597807256,-0.6793700623797314,-8.0,False,True,False,True,1e-06,7,7,minus2_zero_minus2,1,11.157675879044762,1.7763568394002505e-15,0.0,,1.2434497875801753e-14,3.4427365402933674e-09,6.080876913117095e-10,False,True,1.0658141036401503e-14,2.0638837860964543e-09,1.867757060125541e-10,False,False,False,False,numerically_equivalent,8.650055859780725,False,0.0,False,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,6,3,0.5,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.940001184931518,0.9469754296717232,0.006974244740205249,0.28338988085392525,0.2829445946834402,0.0004452861704850597,0.03938021716343226,0.042581798368007996,0.0032015812045757333,True,30,4.884981338039021e-07,0.0,0.0,0.0,0.0,-0.4474374810757448,-0.44354183522761226,-8.0,False,True,False,True,1e-06,7,7,one_zero_one,3,2.1449949349964816,6.661338147750939e-15,4.440892098500626e-16,1.4621940866651029,1.4621940866651029,0.008807195043087135,0.0037351411901846987,True,True,2.1374191305767454e-10,6.564014887189273e-08,1.9678678131462846e-09,False,False,False,False,tiny_boundary_refinement,7.552562518924256,False,0.0,False,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,6,1,0.16666666666666666,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7482542687165856,0.7551834814472004,0.006929212730614753,0.5110184633950918,0.510628348304824,0.00039011509026787294,0.03265660083199509,0.03444264409147016,0.0017860432594750675,True,16,3.55271366094897e-07,2.6645352591162e-07,3.55271366094897e-07,-1.7763568501960078e-07,3.55271366094897e-07,-0.009010740154028167,-0.8803659209989646,-1.8353567550888044,False,False,False,False,1e-06,7,7,empirical,0,5.784249815955253,0.0,2.8066438062523957e-13,0.01108390882709287,0.01108390882709287,0.0007271756767966986,0.0004421067812430124,True,True,0.0,0.0,0.0,False,False,False,False,numerically_equivalent,7.990989259845972,False,6.164643244911195,False,False
Cochrane DTA Reference Dataset,CD008081,legacy:CD008081:1,9,0,0.0,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7895550197841507,0.7927613843780806,0.003206364593929978,0.8335858546284002,0.839905155152031,0.006319300523630833,0.20204878504711637,0.20946232229621414,0.007413537249097768,True,36,2.6645352752940114e-07,-1.7763568501960078e-07,1.776356830474485e-07,0.0,1.7763568501960078e-07,-1.247864833925761,-0.8705375052787029,-8.0,False,True,False,True,1e-06,7,7,minus1_plus2_minus1,5,3.747721700330276,0.0,3.6415315207705135e-14,5.7437913980606936e-08,3.72678073515112,0.0138740342491942,0.0032080149227600163,True,True,3.6415315207705135e-14,5.987315088162859e-10,1.5989093382628994e-09,False,False,False,False,numerically_equivalent,6.752135166074239,False,0.0,False,True
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:1,15,7,0.4666666666666667,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7927569356894549,0.7979091477734861,0.00515221208403116,0.7770690128831603,0.7910343889045011,0.013965376021340736,0.1621948636894463,0.1747571125535063,0.012562248864059988,True,8,3.5527136788216e-07,0.0,3.5527136788216e-07,0.0,3.5527136788216e-07,-1.1990207587759905,-0.012021116603074191,-0.45099989714447813,False,False,False,False,1e-06,7,7,minus1_plus2_minus1,5,15.369412004915931,0.0,2.4868995751603507e-14,0.6606955018987133,1.013185380609345,0.007104095603000737,0.013839818097691858,True,True,2.842170943040401e-14,9.401061040748004e-10,1.2313469133218291e-09,False,False,False,False,numerically_equivalent,6.8009792412240095,False,7.549000102855522,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:3,7,3,0.42857142857142855,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7639407614237806,0.7694780427530779,0.005537281329297206,0.7946202823856812,0.8084167013131607,0.013796418927479515,0.157459567051248,0.17026904273327528,0.012809475682027283,True,42,8.881784250980039e-08,0.0,0.0,0.0,0.0,-1.9934544558772944,-0.9730304094367093,-8.0,False,True,False,True,1e-06,7,7,minus2_zero_minus2,1,5.431596161252827,0.0,8.881784197001252e-16,,7.79616105006653e-09,1.7471983415617842e-08,3.165864492782333e-08,False,True,4.440892098500626e-15,1.1071223937619834e-09,3.1441627079686896e-11,False,False,False,False,numerically_equivalent,6.006545544122705,False,0.0,False,True
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:4,9,5,0.5555555555555556,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.8050099677835125,0.8098964465271964,0.004886478743683864,0.7633683195274604,0.7717458223061557,0.008377502778695312,0.16046828418289524,0.16883459404224857,0.008366309859353327,True,28,0.0,0.0,0.0,0.0,0.0,-1.191240065707518,-0.3484348799834046,-0.1507692565088351,False,False,False,False,1e-06,7,7,one_zero_one,3,10.979488250864296,0.0,0.0,0.8517802404927561,0.8517802404927561,0.0036327613033557693,0.009126786626299288,True,True,1.7763568394002505e-14,1.5125107832858475e-09,2.9956671587783035e-09,False,False,False,False,numerically_equivalent,6.808759934292482,False,7.849230743491165,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:5,11,5,0.45454545454545453,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7917710691707569,0.7941590483178298,0.002387979147072894,0.7997307461881756,0.8135954935724403,0.013864747384264686,0.1772294128826388,0.18899650126631684,0.011767088383678043,True,22,1.7763568501960078e-07,1.7763568501960078e-07,-1.7763568403352462e-07,1.7763568403352462e-07,1.7763568501960078e-07,-1.129927099628783,0.06379824918798209,-0.3341859133184553,False,False,False,False,1e-06,7,7,zero_zero_zero,2,10.988923944418698,5.329070518200751e-15,3.552713678800501e-15,0.7225782734106954,0.7225782734106954,0.0030332977452764975,0.02237460350339049,True,True,5.861977570020827e-14,3.512625745827336e-10,3.737710141393791e-11,False,False,False,False,numerically_equivalent,6.870072900371217,False,7.665814086681545,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:6,6,0,0.0,0.5 added to every cell of every study,0.5 added to all four cells only for studies containing any zero; zero-free studies uncorrected,0.7080157156270919,0.7212331377166049,0.013217422089513042,0.8850436789520274,0.896373126069574,0.011329447117546576,0.1981760270670067,0.21794304312537593,0.019767016058369224,True,9,0.0,0.0,0.0,0.0,0.0,0.031755241798818896,0.10694026429320955,-0.6997051708075365,False,False,False,False,1e-06,7,7,minus1_plus2_minus1,5,6.182479454854485,8.881784197001252e-16,8.881784197001252e-16,0.9792538411794229,0.9792538411794229,0.03232710094985658,0.001928219079552984,True,True,6.217248937900877e-15,6.535426644305176e-10,3.912394852534362e-10,False,False,False,False,numerically_equivalent,8.03175524179882,False,7.300294829192463,False,False
