analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.01,0.807049311811851,0.7889868234329308,0.011545824643409381,0.1429060094694715,0.00246416561294089,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.02,0.807049311811851,0.7889868234329308,0.022789945889692735,0.16112739303834528,0.00496613320301511,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.03,0.807049311811851,0.7889868234329308,0.033738179507004744,0.17355757531900318,0.007506779356008681,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.04,0.807049311811851,0.7889868234329308,0.044396004355973746,0.18323332883369428,0.010087007971565571,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.05,0.807049311811851,0.7889868234329308,0.0547685872796002,0.1912331326112013,0.012707751335393145,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.060000000000000005,0.807049311811851,0.7889868234329308,0.06486080550398414,0.19808157558671796,0.015369971242374615,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.06999999999999999,0.807049311811851,0.7889868234329308,0.07467726684976031,0.20407881990148447,0.018074660173430755,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.08,0.807049311811851,0.7889868234329308,0.08422232801161278,0.2094149326056722,0.020822842529156126,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.09,0.807049311811851,0.7889868234329308,0.09350011112759327,0.2142189619353707,0.023615575923451017,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.09999999999999999,0.807049311811851,0.7889868234329308,0.10251451882994642,0.21858311726425858,0.026453952540581083,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.11,0.807049311811851,0.7889868234329308,0.11126924794374302,0.2225759072630425,0.02933910055932282,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.12,0.807049311811851,0.7889868234329308,0.1197678019780622,0.22624982281802425,0.03227218564809598,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.13,0.807049311811851,0.7889868234329308,0.1280135025360811,0.2296460952520745,0.035254412535245784,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.14,0.807049311811851,0.7889868234329308,0.1360094997547056,0.23279778242094595,0.0382870266589188,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.15000000000000002,0.807049311811851,0.7889868234329308,0.14375878187087873,0.23573184776255837,0.04137131590127947,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:2,CEA at 2.5µg/L,0.16,0.807049311811851,0.7889868234329308,0.15126418400007982,0.2384706061787044,0.04450861241214052,0.1280262761348617
