source,review_id,group_id,review_title,test_name,study_rows,zero_cell_study_fraction,sensitivity,specificity,sensitivity_low,sensitivity_interval_median,sensitivity_high,specificity_low,specificity_interval_median,specificity_high,information_bits,information_bits_low,information_bits_interval_median,information_bits_high,fraction_entropy_removed,fraction_entropy_removed_low,fraction_entropy_removed_interval_median,fraction_entropy_removed_high,post_negative_probability,post_negative_probability_low,post_negative_probability_interval_median,post_negative_probability_high,starting_probability,uncertainty_type,analysis_version,model_specification,analysis_role,sensitivity_dimension,central_estimator_mixed_with_canonical_interval,central_quantity_estimand,derived_central_matches_attached_interval_median
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Overall,50,0.26,0.7531284461159131,0.8806370229590806,0.6904994897583479,0.7531284461159131,0.8045660343462121,0.8553980623119941,0.8806370229590806,0.9027696376090212,0.0709505164050216,0.0586562039989533,0.0709505164050216,0.0830064333283108,0.2477348821003541,0.204807357555844,0.2477348821003541,0.2898300113387839,0.0145186856281504,0.0116490837400669,0.0145186856281504,0.0180205090218231,0.05,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Overall,50,0.26,0.7531284461159131,0.8806370229590806,0.6904994897583479,0.7531284461159131,0.8045660343462121,0.8553980623119941,0.8806370229590806,0.9027696376090212,0.2216690609009613,0.1844119044548558,0.2216690609009613,0.2582145059093375,0.3070514397081982,0.2554435902423611,0.3070514397081982,0.3576734410781242,0.0654028916302503,0.0530171431769388,0.0654028916302503,0.0801791581537549,0.2,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Overall,50,0.26,0.7531284461159131,0.8806370229590806,0.6904994897583479,0.7531284461159131,0.8045660343462121,0.8553980623119941,0.8806370229590806,0.9027696376090212,0.3208766474518314,0.2662520598276158,0.3208766474518314,0.375188988860603,0.3208766474518314,0.2662520598276158,0.3208766474518314,0.375188988860603,0.2187006095500254,0.1829673507738265,0.2187006095500254,0.2585303861257318,0.5,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Children,7,0.4285714285714285,0.6454382068334029,0.9760798017311024,0.4778498543427174,0.6454382068334029,0.7823818246810104,0.940522251999494,0.9760798017311024,0.9900904547911408,0.1029420841203659,0.0613069248718964,0.1029420841203659,0.1478425438646999,0.3594384701464787,0.2140627662013688,0.3594384701464787,0.5162154841080994,0.0188355190936822,0.0117032869032369,0.0188355190936822,0.0274395578492431,0.05,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Children,7,0.4285714285714285,0.6454382068334029,0.9760798017311024,0.4778498543427174,0.6454382068334029,0.7823818246810104,0.940522251999494,0.9760798017311024,0.9900904547911408,0.2816101283684357,0.1741460229400419,0.2816101283684357,0.3952835834801674,0.3900805777788347,0.2412235015832328,0.3900805777788347,0.5475387178855269,0.0835661699810551,0.0532534603695837,0.0835661699810551,0.1181776183296641,0.2,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Galactomannan detection for invasive aspergillosis in immunocompromised patients,Children,7,0.4285714285714285,0.6454382068334029,0.9760798017311024,0.4778498543427174,0.6454382068334029,0.7823818246810104,0.940522251999494,0.9760798017311024,0.9900904547911408,0.362627036401506,0.2232132140025804,0.362627036401506,0.5111040162275743,0.362627036401506,0.2232132140025804,0.362627036401506,0.5111040162275743,0.2672623955837576,0.1836705583924617,0.2672623955837576,0.3489841300994555,0.5,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,Triage of LSIL with HC2; CIN2+ (studies with both tests),6,0.5,0.9698983048805672,0.2587818344422988,0.9117941476445532,0.9698983048805672,0.9910659883843022,0.2274055153222535,0.2587818344422988,0.2914422773120204,0.0135806033511191,0.0066060594525342,0.0135806033511191,0.0184719237690247,0.0474188115958949,0.0230660951116865,0.0474188115958949,0.0644976257954648,0.0060679029307807,0.0018350922372365,0.0060679029307807,0.0171970385108429,0.05,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,Triage of LSIL with HC2; CIN2+ (studies with both tests),6,0.5,0.9698983048805672,0.2587818344422988,0.9117941476445532,0.9698983048805672,0.9910659883843022,0.2274055153222535,0.2587818344422988,0.2914422773120204,0.04819462325208,0.0229752221927944,0.04819462325208,0.0660635688660874,0.066758204305097,0.031824806868583,0.066758204305097,0.0915099015178165,0.0281812840596607,0.0086571132022582,0.0281812840596607,0.0767372318078392,0.2,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,Triage of LSIL with HC2; CIN2+ (studies with both tests),6,0.5,0.9698983048805672,0.2587818344422988,0.9117941476445532,0.9698983048805672,0.9910659883843022,0.2274055153222535,0.2587818344422988,0.2914422773120204,0.0857118168876655,0.0386916452109159,0.0857118168876655,0.1209078275531823,0.0857118168876655,0.0386916452109159,0.0857118168876655,0.1209078275531823,0.1039378315588385,0.0337518691314554,0.1039378315588385,0.2495090168101301,0.5,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,Triage of LISL with repeat cytology (cut-off ASCUS+) CIN2+,6,0.1666666666666666,0.8294406866289468,0.4662557726032287,0.7486552981544489,0.8294406866289468,0.8849647181754045,0.4220337654196664,0.4662557726032287,0.5120616231017641,0.0133286218369244,0.0063842000622938,0.0133286218369244,0.0208106676172829,0.0465389785252778,0.0222914381723301,0.0465389785252778,0.0726637176136516,0.0188845631626789,0.0126896309432672,0.0188845631626789,0.0277413945802985,0.05,descriptive local-Gaussian sensitivity range; not canonical uncertainty,0.42.0,regularized GH15 wider prior,prior sensitivity,prior,False,locked released propagated median for each reported quantity,True
