source,review_id,group_id,sensitivity,specificity,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,zero_cell_study_fraction,pooled_sensitivity_median,pooled_specificity_median,information_bits_at_20_percent_median,relative_information_at_20_percent_median,canonical_reml_plugin_information_bits_at_20_percent,direct_binomial_plugin_information_bits_at_20_percent,absolute_like_for_like_plugin_information_bits_at_20_percent_difference,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,absolute_relative_information_at_20_percent_percentage_points_difference
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,0.66739819853567,0.8685376940184669,0.16012670835262616,0.22180423436437902,0.26,0.7403857182121064,0.8724162286966609,0.2053753555491193,0.2844817330196335,0.16012670835262616,0.20565439368981642,0.04552768533719026,0.07298751967643646,0.00387853467819399,0.04524864719649313,6.267749865525446
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,0.44157331633329416,0.9643787328215978,0.14462673230646295,0.2003339852413253,0.42857142857142855,0.5984029022841222,0.9738131080946388,0.249600834059825,0.3457419593827673,0.14462673230646295,0.251596703374773,0.10696997106831008,0.15682958595082802,0.009434375273041029,0.10497410175336205,14.5407974141442
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,0.940001184931518,0.28338988085392525,0.03938021716343226,0.05454866965605002,0.5,0.9665327713461124,0.2593666833987193,0.0461250719119673,0.0638915042074431,0.03938021716343226,0.04647996969245205,0.007099752529019787,0.02653158641459441,0.024023197455205925,0.006744854748535034,0.9342834551393085
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,0.7482542687165856,0.5110184633950918,0.03265660083199509,0.04523525412470654,0.16666666666666666,0.8290990790478652,0.4624593324761627,0.0443827099211972,0.0614780200902446,0.03265660083199509,0.044629026852672005,0.011972426020676913,0.08084481033127955,0.048559130918929105,0.01172610908920211,1.624276596553806
Cochrane DTA Reference Dataset,CD008081,legacy:CD008081:1,0.7895550197841507,0.8335858546284002,0.20204878504711637,0.2798738357434901,0.0,0.8037683791803611,0.8645252121552054,0.2381095994915109,0.3298245367894452,0.20204878504711637,0.2395420186804024,0.03749323363328602,0.01421335939621049,0.03093935752680521,0.03606081444439452,4.995070104595506
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:1,0.7927569356894549,0.7770690128831603,0.1621948636894463,0.2246690007468853,0.4666666666666667,0.8464555301312555,0.8597636917402927,0.2655118113538304,0.3677815190102229,0.1621948636894463,0.265845969946485,0.10365110625703872,0.053698594441800584,0.08269467885713233,0.1033169476643841,14.311251826333757
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:3,0.7639407614237806,0.7946202823856812,0.157459567051248,0.21810976490091494,0.42857142857142855,0.8081646580752768,0.8530103945556098,0.2273992780523459,0.3149888190565925,0.157459567051248,0.23152893538906574,0.07406936833781774,0.044223896651496175,0.05839011216992862,0.06993971100109789,9.687905415567755
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:4,0.8050099677835125,0.7633683195274604,0.16046828418289524,0.2222773782033404,0.5555555555555556,0.8500836735586101,0.7531666447243321,0.1808105678051331,0.2504550925301554,0.16046828418289524,0.18181766452297618,0.021349380340080937,0.04507370577509762,0.01020167480312828,0.02034228362223786,2.8177714326815013
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:5,0.7917710691707569,0.7997307461881756,0.1772294128826388,0.24549455013285046,0.45454545454545453,0.8377911718166398,0.8755753854393719,0.2748362213989146,0.3806975006864022,0.1772294128826388,0.2757983563526255,0.09856894346998671,0.046020102645882854,0.07584463925119622,0.09760680851627582,13.520295055355172
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:6,0.7080157156270919,0.8850436789520274,0.1981760270670067,0.27450937076763415,0.0,0.7749533162673126,0.899467509218786,0.2550552605213912,0.3532973191203838,0.1981760270670067,0.2569346472864875,0.058758620219480806,0.0669376006402207,0.014423830266758642,0.056879233454384504,7.878794835274966
