source,source_version,review_id,review_title,group_id,group_number,test_name,analysis_scope,study_rows,unique_studies,paired_studies,eligibility,primary_atlas,published_studies,published_sensitivity,published_sensitivity_low,published_sensitivity_high,published_specificity,published_specificity_low,published_specificity_high,model_status,source_file,source_sheet,source_url,source_sha256,source_license,source_license_url,selection_status,duplicate_of_group_id,source_route,model,model_converged,sensitivity,specificity,lr_positive,lr_negative,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,negative_posterior_at_20_percent,published_sensitivity_difference,published_specificity_difference,mean_logit_sensitivity_variance,mean_logit_specificity_variance,mean_logit_covariance,between_logit_sensitivity_variance,between_logit_specificity_variance,between_logit_covariance,between_logit_correlation,reml_objective,optimizer_iterations,optimizer_max_abs_gradient,optimizer_projected_kkt_gradient_log_l00,optimizer_projected_kkt_gradient_l10,optimizer_projected_kkt_gradient_log_l11,optimizer_projected_kkt_gradient_max_abs,optimizer_parameter_log_l00,optimizer_parameter_l10,optimizer_parameter_log_l11,optimizer_tied_solution_log_l00_at_lower_bound,optimizer_tied_solution_log_l11_at_lower_bound,optimizer_selected_log_l00_at_lower_bound,optimizer_selected_log_l11_at_lower_bound,optimizer_hard_bound_atol,optimizer_multistart_count,optimizer_valid_start_count,optimizer_selected_start,optimizer_selected_start_order,optimizer_minimum_recomputed_objective,optimizer_selected_objective_delta_from_minimum,optimizer_objective_tie_tolerance,optimizer_objective_gap_to_second_best,optimizer_objective_gap_to_next_distinct_basin,optimizer_valid_objective_range,optimizer_valid_sensitivity_range,optimizer_valid_specificity_range,optimizer_alternative_rounded_claim_changed_across_starts,optimizer_empirical_start_valid,optimizer_empirical_to_selected_objective_delta,optimizer_empirical_to_selected_sensitivity_delta,optimizer_empirical_to_selected_specificity_delta,optimizer_rounded_claim_changed_from_empirical,optimizer_material_objective_path_dependence,optimizer_material_central_path_dependence,optimizer_material_path_dependence,optimizer_path_dependence_class,continuity_correction_rule,study_positive_fraction_low,study_positive_fraction_median,study_positive_fraction_high,zero_cell_study_fraction,pooled_mean_sensitivity_low,pooled_mean_sensitivity_median,pooled_mean_sensitivity_high,pooled_mean_specificity_low,pooled_mean_specificity_median,pooled_mean_specificity_high,predictive_sensitivity_low,predictive_sensitivity_median,predictive_sensitivity_high,predictive_specificity_low,predictive_specificity_median,predictive_specificity_high,pooled_mean_der_at_20_percent_low,pooled_mean_der_at_20_percent_median,pooled_mean_der_at_20_percent_high,predictive_der_at_20_percent_low,predictive_der_at_20_percent_median,predictive_der_at_20_percent_high,pooled_mean_information_bits_at_20_percent_low,pooled_mean_information_bits_at_20_percent_median,pooled_mean_information_bits_at_20_percent_high,predictive_information_bits_at_20_percent_low,predictive_information_bits_at_20_percent_median,predictive_information_bits_at_20_percent_high,pooled_mean_positive_information_bits_at_20_percent_low,pooled_mean_positive_information_bits_at_20_percent_median,pooled_mean_positive_information_bits_at_20_percent_high,predictive_positive_information_bits_at_20_percent_low,predictive_positive_information_bits_at_20_percent_median,predictive_positive_information_bits_at_20_percent_high,pooled_mean_negative_information_bits_at_20_percent_low,pooled_mean_negative_information_bits_at_20_percent_median,pooled_mean_negative_information_bits_at_20_percent_high,predictive_negative_information_bits_at_20_percent_low,predictive_negative_information_bits_at_20_percent_median,predictive_negative_information_bits_at_20_percent_high,pooled_mean_negative_at_20_percent_low,pooled_mean_negative_at_20_percent_median,pooled_mean_negative_at_20_percent_high,predictive_negative_at_20_percent_low,predictive_negative_at_20_percent_median,predictive_negative_at_20_percent_high,analysis_version,analysis_row_rule,mean_logit_sensitivity,mean_logit_specificity
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,1,Overall,reported_main,50,50,50,eligible,True,50.0,0.73,0.65,0.8,0.89,0.84,0.92,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.66739819853567,0.8685376940184669,5.0767266978370325,0.38294457886505756,0.16012670835262616,0.22180423436437902,0.08737153116460789,-0.06260180146433003,-0.021462305981533092,0.018299431308036705,0.03216173814539311,-0.00502004277140458,0.4001374546587806,1.405770068383009,-0.2481263890466734,-0.33083481574351026,66.09171993162067,9,1.421085472268197e-06,-1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,-0.4579735771283766,-0.3922548777037981,0.1123336666045712,False,False,False,False,1e-06,7,7,zero_zero_zero,2,66.09171993162064,2.842170943040401e-14,6.609171993162064e-07,1.4210854715202004e-14,14.444387772529794,14.444387772529794,0.048760920073649294,0.0032341747363285878,True,True,7.247535904753022e-13,2.4303542511816545e-09,6.549194520033552e-11,False,False,False,False,numerically_equivalent,universal,0.008,0.10343293070565798,0.5294117647058824,0.26,0.6061854837256724,0.6673981985356698,0.7234371911101078,0.8229694667334213,0.8685376940184669,0.9037483442752159,0.36091497661258526,0.6673981985356698,0.8769950620974151,0.3864696581953116,0.8685376940184669,0.9857740302890562,0.1655597359011549,0.22083154892498164,0.27912224441286065,0.005209739723132934,0.20337006266176044,0.49762464117566363,0.11952222472917559,0.15942449940643733,0.20150619014966123,0.0037610574731803737,0.14681856189452822,0.3592492091729541,0.0789755432151933,0.10707147966182866,0.13699113962432125,0.0014659226233431789,0.09842005368132031,0.258734043985635,0.038947584331354916,0.05237254545924601,0.06725276179492021,0.0019289622686902194,0.04494620902377129,0.11720848868767832,0.07397519870379725,0.08747426016714493,0.10163709374314486,0.03914286631292668,0.0931194582555615,0.17705190686639485,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,0.6964408840332568,1.8880908220285806
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,2,Children,reported_main,7,7,7,eligible,True,6.0,0.84,0.66,0.93,0.88,0.6,0.97,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.44157331633329416,0.9643787328215978,12.396339358781372,0.5790532958279268,0.14462673230646295,0.2003339852413253,0.12645698977898218,-0.3984266836667058,0.0843787328215978,0.5767428312841131,0.1469924766309435,-0.1703874276179527,3.34718303889634,0.417373436499485,-1.1819580833773788,-0.9999998651864584,10.002228866989737,33,5.329070550588023e-07,-1.776356830474485e-07,1.776356830474485e-07,0.0,1.776356830474485e-07,0.6040595540921205,-0.6460443668698848,-8.0,False,True,False,True,1e-06,7,7,minus1_plus2_minus1,5,10.002228866989737,0.0,1.0002228866989737e-07,3.552713678800501e-15,,2.135713828010921e-11,1.1842369362913274e-08,2.5851779605901015e-09,False,True,1.900701818158268e-13,8.858554390034357e-09,8.873756174310188e-10,False,False,False,False,numerically_equivalent,universal,0.042735042735042736,0.22580645161290322,0.66,0.42857142857142855,0.15145350370834745,0.44157331633329416,0.7779375623001927,0.9273783763416481,0.9643787328215978,0.9828756898512635,0.016028119667148198,0.44157331633329416,0.9746103001459558,0.8613003155781562,0.9643787328215978,0.9915988521164532,0.04210455861671181,0.19748240780211807,0.45652580829713774,0.000528487844668704,0.19939792191190134,0.6003347023866014,0.030396463788236027,0.14256809843835228,0.32957880705086584,0.00038153022287280576,0.14395096189035797,0.43339848798873076,0.028249249916600865,0.11846765883109475,0.2331252311635768,0.00037849767313454414,0.11914115024950805,0.2647018309161895,0.00208583592493274,0.023884045124467495,0.09958172025341332,4.3163571272511875e-06,0.023943422492870292,0.19030050808837445,0.055144931102690226,0.12658697796845092,0.17824273679357405,0.007995573601403036,0.12662167193217586,0.19904884908536363,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,-0.23477926807520097,3.298541241684009
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:12,12,Triage of LSIL with HC2; CIN2+ (studies with both tests),reported_main,6,6,6,eligible,True,6.0,0.962,0.914,0.983,0.277,0.209,0.357,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.940001184931518,0.28338988085392525,1.3117330607215538,0.21171826914810954,0.03938021716343226,0.05454866965605002,0.050268858365717116,-0.021998815068482003,0.006389880853925223,0.18317401277352516,0.04030168334741542,-0.054061599488696585,0.46204748495057407,0.197308024295419,-0.30193645753646686,-0.9999997148235831,1.9488571965893864,29,6.661338188235028e-07,-4.4408921008381155e-08,0.0,0.0,4.4408921008381155e-08,-0.3860438059518665,-0.4441935521371785,-8.0,False,True,False,True,1e-06,7,7,empirical,0,1.948857196589385,1.3322676295501878e-15,1.948857196589385e-08,1.3322676295501878e-15,,3.0672353545924125e-10,1.103404585478529e-07,1.2684608641233552e-08,False,True,0.0,0.0,0.0,False,False,False,False,numerically_equivalent,universal,0.052434456928838954,0.1386734693877551,0.224,0.5,0.8713238125644078,0.940001184931518,0.9731532823609099,0.21062261334568186,0.28338988085392525,0.3695285045304889,0.7644443269797289,0.940001184931518,0.9869510237491088,0.1320335295914328,0.28338988085392525,0.5069197011979646,0.0294788124662381,0.053578531166919324,0.08061370644855341,0.02553052818318219,0.05048368225172601,0.08770975192164461,0.021281582923293095,0.038679846932197226,0.05819729951821324,0.01843120557275283,0.0364455885508875,0.06332013410783606,0.0035652453762959144,0.00693104477909183,0.012524193667146848,0.0016459847984121258,0.006702715040848356,0.018977248696369225,0.017110112207800583,0.03166541929601223,0.046790040501396186,0.014378264479384336,0.029534510987893975,0.04741821942729796,0.026632407431861998,0.05019812710576786,0.08999988988907622,0.020956452938872553,0.05042885263627905,0.11117103625068311,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,2.751556322660243,-0.9277083054360888
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:15,15,Triage of LISL with repeat cytology (cut-off ASCUS+) CIN2+,reported_main,6,6,6,eligible,True,6.0,0.771,0.595,0.885,0.512,0.345,0.676,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7482542687165856,0.5110184633950918,1.5302301062568893,0.49263529464448763,0.03265660083199509,0.04523525412470654,0.10965396973837178,-0.022745731283414394,-0.0009815366049081842,0.2006967219224855,0.14001701035719358,-0.1458299871076196,0.9540276926414044,0.7894351329141286,-0.8548331303778065,-0.9850145141132806,5.470625818797242,16,2.6645352457117277e-07,-1.776356839102651e-07,-2.6645352457117277e-07,0.0,2.6645352457117277e-07,-0.023531290014576132,-0.8751869938254782,-1.8757422693783539,False,False,False,False,1e-06,7,7,empirical,0,5.470625818797242,0.0,5.4706258187972417e-08,2.6645352591003757e-15,0.010520090875075994,0.010520090875075994,0.00038527938891064206,0.0004923813427805124,True,True,0.0,0.0,0.0,False,False,False,False,numerically_equivalent,universal,0.052434456928838954,0.15161290322580645,0.224,0.16666666666666666,0.5526232320237187,0.7482542687165856,0.8773284760055212,0.3341854872250411,0.5110184633950918,0.6851360763081559,0.2656479005598602,0.7482542687165856,0.9606632001600165,0.1364041154563441,0.5110184633950918,0.8736523172591739,0.01813444886577795,0.043839235076548584,0.07862363621962618,0.008649515091727431,0.036720279817882465,0.08438243794393253,0.013091768121503363,0.03164877546013195,0.05676061190915174,0.006244327951870274,0.02650940165265475,0.060918052666814285,0.004622536302453975,0.01246256741679186,0.0263645307395767,0.0009939231990535242,0.010677834006369423,0.033050529665522334,0.00695275015127168,0.01881479116098455,0.0338357537543348,0.0018170254960331754,0.015389042064317366,0.0350408869052296,0.0761360165960891,0.11022578870280642,0.14893783766781243,0.05786105422535215,0.11231879721149407,0.17758810289356491,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.0893232763683776,0.044080990131731286
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008081,Optical coherence tomography (OCT) for detection of macular oedema in patients with diabetic retinopathy,legacy:CD008081:1,1,OCT for detection of CSMO,reported_main,9,9,9,eligible,True,9.0,0.81,0.74,0.87,0.85,0.75,0.91,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7895550197841507,0.8335858546284002,4.744518670700068,0.2524574751927172,0.20204878504711637,0.2798738357434901,0.05936743087155178,-0.020444980215849395,-0.016414145371599798,0.02142470523647234,0.09787956504545012,-0.02992563295897411,0.08765582027511473,0.7169434781082047,-0.2506875720894544,-0.9999999215173982,2.4031743937441155,45,1.776356830474485e-07,0.0,-1.776356830474485e-07,0.0,1.776356830474485e-07,-1.2171686331121834,-0.8467250826407766,-8.0,False,True,False,True,1e-06,7,7,minus1_minus2_minus1,6,2.4031743937441155,0.0,2.4031743937441155e-08,8.881784197001252e-15,2.5870693143303924e-08,4.072966813423778,0.013634121657560394,0.0033427149136699974,True,True,1.1546319456101628e-14,2.0312096449259798e-10,4.4772896501399373e-10,False,False,False,False,numerically_equivalent,universal,0.19186046511627908,0.5,0.6451612903225806,0.0,0.7379540737661437,0.7895550197841507,0.8332903888607589,0.7306786572639058,0.8335858546284002,0.902423375038481,0.6626042408284345,0.7895550197841507,0.8775648407375389,0.46059332641985595,0.8335858546284002,0.9670885239171456,0.20074733021279875,0.27837331634650864,0.3525650049922955,0.08309600735862302,0.2798166462733377,0.4070875604405604,0.14492513765425002,0.20096551793751205,0.25452658237804127,0.05998934228515696,0.20200749836188164,0.2938879469611977,0.07450937707449778,0.11950692748858438,0.16550789383780057,0.018803461955480313,0.12025610561427845,0.21930126618058887,0.06702550523677996,0.08112023896395346,0.09501162900284697,0.04068156206900917,0.07707748689226665,0.0931369775125325,0.05016795511817791,0.05967272256472525,0.0702095308906421,0.049985952391342306,0.0615269916071048,0.08188524093139882,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.3222452783603034,1.6112571688223927
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:1,1,Any varices - All the studies,reported_main,15,15,15,eligible,True,15.0,0.848,0.773,0.902,0.843,0.731,0.914,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7927569356894549,0.7770690128831603,3.556064349519816,0.2666984024258165,0.1621948636894463,0.2246690007468853,0.06250697313739965,-0.05524306431054504,-0.06593098711683965,0.02057415127318093,0.06383675153761523,0.002169254975169027,0.08571675219755318,0.3528808041789119,0.02636495664425534,0.15159336404796728,14.578512528513123,12,0.0,0.0,0.0,0.0,0.0,-1.2283534987985971,0.09005217524836519,-0.5324368307596272,False,False,False,False,1e-06,7,7,minus1_minus2_minus1,6,14.578512528513116,7.105427357601002e-15,1.4578512528513115e-07,7.105427357601002e-15,0.46531975916921553,1.0257721361669727,0.006108080181097986,0.011890642479313707,True,True,2.1316282072803006e-14,1.679065331217089e-09,2.4219115601908925e-09,False,False,False,False,numerically_equivalent,universal,0.42857142857142855,0.71875,0.95,0.4666666666666667,0.7427847714887613,0.7927569356894549,0.8351748019439322,0.6799329475332988,0.7770690128831603,0.8511779809091011,0.6687709014739066,0.7927569356894549,0.8787469611264738,0.49585968188671536,0.7770690128831603,0.9251102221565534,0.14107400151363508,0.22493414588330124,0.3163511470581252,0.04289357097866719,0.2221070767230779,0.45358048717738164,0.10184528515087544,0.1623862794126477,0.22838278091110417,0.030966073979545056,0.1603453387596928,0.32745249698604884,0.05052238576819569,0.08963310679559414,0.13558417674010373,0.012582625422778776,0.08871644605289926,0.21075064510252772,0.049916461459293536,0.07243871209691424,0.09496234284385156,0.017899484402138347,0.07091753607744075,0.1242737752945557,0.04913909723833262,0.06270071352663142,0.07971564466767962,0.03541540936359966,0.06375590960181146,0.11627472010460126,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.3416243341525658,1.2486669173423326
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:3,3,Any varices - studies at low risk of bias for QUADAS-2 'patient selection' domain,reported_main,7,7,7,eligible,True,7.0,0.797,0.731,0.85,0.861,0.645,0.955,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7639407614237806,0.7946202823856812,3.719650461582481,0.2970717508839579,0.157459567051248,0.21810976490091494,0.06913353281169828,-0.033059238576219396,-0.06637971761431882,0.025752733969882157,0.2030126932404029,-0.015490492779473033,0.013773751054713151,0.8171482436082897,-0.10609050348325078,-0.9999999310128841,5.179433457055811,14,0.0,0.0,0.0,0.0,0.0,-2.142495297794072,-0.9039624609810367,-7.999066839878422,False,True,False,False,1e-06,7,7,lower_zero_lower,4,5.179433457012919,4.289280042257815e-11,5.179433457012919e-08,3.375077994860476e-14,,3.331918563276304e-08,7.573660341098076e-07,1.0793080427173862e-06,False,True,3.327629283234046e-08,3.731016119390418e-07,1.8383373279196036e-07,False,False,False,False,tiny_boundary_refinement,universal,0.42857142857142855,0.6283185840707964,0.8235294117647058,0.42857142857142855,0.702635402518698,0.7639407614237806,0.815918486610959,0.6153610869717064,0.7946202823856812,0.9034450855346352,0.6867011699317879,0.7639407614237806,0.8269370500783055,0.34827758041341517,0.7946202823856812,0.9655312905765709,0.09817029316395974,0.21784963351806355,0.34848538568928417,0.018225541437737452,0.2159160926650626,0.4443140129597452,0.0708718927183913,0.1572717708976057,0.2515813905867526,0.013157530408436476,0.15587589343321182,0.32076276890778765,0.032985136863536636,0.09070150972263183,0.16417474299286156,0.0039482497224316414,0.0898645081965527,0.23409681544659328,0.0367979989748415,0.06579603260767602,0.09104922605321392,0.00922595596873186,0.06462484531461576,0.09442333178424535,0.054532221153992685,0.06978009817046792,0.09154332949792658,0.05497899358509104,0.07169251163325167,0.12577789252032048,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.1744074643130877,1.3530038215057105
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:4,4,Any varices - studies at low risk of bias for QUADAS-2 'flow and timing' domain,reported_main,9,9,9,eligible,True,9.0,0.858,0.755,0.922,0.825,0.622,0.931,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.8050099677835125,0.7633683195274604,3.401953475443165,0.2554337496441954,0.16046828418289524,0.2222773782033404,0.06002531461465066,-0.05299003221648746,-0.06163168047253953,0.031469863894625486,0.15454077511496686,-0.009545108321825061,0.08354289777918085,0.7833492274469832,-0.07673407724249888,-0.29995478723449404,10.820698413111156,36,0.0,0.0,0.0,0.0,0.0,-1.2411975165945481,-0.265481038194046,-0.16922877095364378,False,False,False,False,1e-06,7,7,one_zero_one,3,10.82069841311113,2.6645352591003757e-14,1.082069841311113e-07,3.552713678800501e-15,0.7387407963715464,0.7387407963715464,0.0015658795800693737,0.007160473224650077,True,True,-1.7763568394002505e-15,1.2447309849505928e-09,1.4750315413536441e-09,False,False,False,False,numerically_equivalent,universal,0.42857142857142855,0.7076923076923077,0.95,0.5555555555555556,0.7446375266560712,0.8050099677835125,0.8539094945467552,0.5988657132366713,0.7633683195274604,0.8745421295758073,0.6798784395101161,0.8050099677835125,0.889200375784827,0.3258784761554222,0.7633683195274604,0.9556109244914452,0.10866614112960915,0.22066676385859527,0.34816312061623156,0.016884017944414326,0.21820148238459214,0.49220500204279327,0.07844914024445998,0.15930553643739515,0.251348738376515,0.012189046908655073,0.15752578047950694,0.35533661941878397,0.0343151689983823,0.0854614554646797,0.15301355254447999,0.00335880825813295,0.08411249396074094,0.24203847480231347,0.04298879049900535,0.07341476703740246,0.10158070163256332,0.0086936179471313,0.07061456126568487,0.12403195036278758,0.04519726259793051,0.060600699347517765,0.08188514273216523,0.03566159624870955,0.0630556344596826,0.1281781950111518,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.417906219262959,1.1712357988217434
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:5,5,Any varices - only full-text studies,reported_main,11,11,11,eligible,True,11.0,0.826,0.754,0.88,0.88,0.739,0.95,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7917710691707569,0.7997307461881756,3.95353282693466,0.2603737968331745,0.1772294128826388,0.24549455013285046,0.06111524698295625,-0.034228930829243054,-0.08026925381182437,0.024950441767700546,0.10208996583906205,0.005331301577230516,0.10419297237131013,0.480053731082383,0.04892902251422625,0.21877737198055736,10.491976093789845,19,0.0,0.0,0.0,0.0,0.0,-1.1307552977953748,0.151581892834451,-0.39145207706587626,False,False,False,False,1e-06,7,7,zero_zero_zero,2,10.491976093789786,5.861977570020827e-14,1.0491976093789786e-07,1.7763568394002505e-15,0.562690908934913,0.562690908934913,0.0031603556892660922,0.018268437515045477,True,True,-4.263256414560601e-14,6.990584777710751e-10,8.653247007828213e-10,False,False,False,False,numerically_equivalent,universal,0.5966386554621849,0.7857142857142857,0.95,0.45454545454545453,0.7361482219344898,0.7917710691707569,0.8382445689732062,0.681000625009734,0.7997307461881756,0.8819316293894324,0.6527821711424073,0.7917710691707569,0.8849309488358524,0.4723263978042936,0.7997307461881756,0.9468504938736704,0.13845055262676353,0.24523404450314037,0.3614385536368947,0.030536053344683012,0.24164392562202497,0.5149184938892867,0.0999513436939419,0.17704134654967474,0.26093264644592706,0.022044834816505876,0.17444953886541198,0.37173412731576266,0.050429215236514634,0.10045820878543912,0.16135099007275994,0.008646451984447405,0.09885134460465136,0.24559726202005847,0.04850553356349958,0.07627560575684875,0.10239665380767496,0.012925172419276161,0.07402782602885012,0.13322038911780118,0.04669629085292451,0.061254017651557816,0.08082210038290258,0.03279729102375024,0.06264675964701119,0.1269246588073411,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,1.3356341925128747,1.3846123735521807
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:6,6,Large varices - all the studies,reported_main,6,6,6,eligible,True,6.0,0.737,0.524,0.877,0.905,0.841,0.944,converged,,,,,,,,,historical Cochrane,continuity-corrected bivariate REML,True,0.7080157156270919,0.8850436789520274,6.158997688623218,0.3299094624557335,0.1981760270670067,0.27450937076763415,0.07619315491844567,-0.02898428437290812,-0.019956321047972625,0.19532057398485594,0.09059587875077839,0.025711443767202812,0.8505954991827371,0.2859728067760384,0.14752742439784428,0.29912234111747643,5.55486736929511,16,1.776356830474485e-07,0.0,0.0,-1.776356830474485e-07,1.776356830474485e-07,-0.08090929376033469,0.15995993544016965,-0.672795785258441,False,False,False,False,1e-06,7,7,minus2_zero_minus2,1,5.554867369295106,3.552713678800501e-15,5.5548673692951065e-08,0.0,,5.329070518200751e-15,2.315229008509334e-09,8.22423462665256e-10,False,True,1.7763568394002505e-15,1.6368688626755556e-09,1.3292156264554933e-10,False,False,False,False,numerically_equivalent,universal,0.2743055555555556,0.37426470588235294,0.5,0.0,0.5048894733399564,0.7080157156270919,0.8522016212358025,0.8101757066862472,0.8850436789520274,0.9328313150484612,0.24625442889440832,0.7080157156270919,0.9473609647658405,0.6981174006563249,0.8850436789520274,0.9624504226023092,0.10817040791263438,0.27280211599599646,0.45272318492149144,0.006037443404283907,0.26635355258677795,0.6337886066457861,0.07809125650755701,0.19694351188223094,0.32683358640171134,0.0043586000148449515,0.1922881127854535,0.45754980135710815,0.054849479931486034,0.13118178784088866,0.21116596131693857,0.003156178933143417,0.1258881689154331,0.2886585329945278,0.02224665767855312,0.06526482846012335,0.12007957729610721,0.0009763114339050838,0.06366240745750772,0.18009708607147487,0.03956381424525455,0.07636652824727774,0.12496427059732274,0.014247046416572678,0.07711244900485067,0.18796937010054568,0.42.0,manifest source_sheet where recorded; otherwise all group-matched rows,0.8857663104815984,2.041084759297715
