source,review_id,group_id,study_rows,zero_cell_study_fraction,optimizer_iterations,optimizer_max_abs_gradient,optimizer_projected_kkt_gradient_log_l00,optimizer_projected_kkt_gradient_l10,optimizer_projected_kkt_gradient_log_l11,optimizer_projected_kkt_gradient_max_abs,between_logit_sensitivity_variance,between_logit_specificity_variance,between_logit_covariance,between_logit_correlation,mean_logit_sensitivity_variance,mean_logit_specificity_variance,mean_logit_covariance,optimizer_parameter_log_l00,optimizer_parameter_l10,optimizer_parameter_log_l11,optimizer_tied_solution_log_l00_at_lower_bound,optimizer_tied_solution_log_l11_at_lower_bound,optimizer_selected_log_l00_at_lower_bound,optimizer_selected_log_l11_at_lower_bound,optimizer_hard_bound_atol,optimizer_multistart_count,optimizer_valid_start_count,optimizer_selected_start,optimizer_selected_start_order,optimizer_minimum_recomputed_objective,optimizer_selected_objective_delta_from_minimum,optimizer_objective_tie_tolerance,optimizer_objective_gap_to_second_best,optimizer_objective_gap_to_next_distinct_basin,optimizer_valid_objective_range,optimizer_valid_sensitivity_range,optimizer_valid_specificity_range,optimizer_alternative_rounded_claim_changed_across_starts,optimizer_empirical_start_valid,optimizer_empirical_to_selected_objective_delta,optimizer_empirical_to_selected_sensitivity_delta,optimizer_empirical_to_selected_specificity_delta,optimizer_rounded_claim_changed_from_empirical,optimizer_material_objective_path_dependence,optimizer_material_central_path_dependence,optimizer_material_path_dependence,optimizer_path_dependence_class,optimizer_selected_log_l00_distance_to_lower_bound,optimizer_selected_log_l00_in_1e_6_to_1e_4_ambiguity_band,optimizer_selected_log_l11_distance_to_lower_bound,optimizer_selected_log_l11_in_1e_6_to_1e_4_ambiguity_band,between_covariance_min_eigenvalue,between_covariance_max_eigenvalue,near_singular_between_covariance,absolute_between_correlation_at_least_0_99,optimizer_gradient_above_1e_4,optimizer_projected_kkt_gradient_above_1e_4,optimizer_any_tied_solution_cholesky_diagonal_at_lower_bound,optimizer_any_selected_endpoint_cholesky_diagonal_at_lower_bound,old_diagnostic_flag,hard_bound_missed_by_old_flags,diagnostic_flag
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,50,0.26,9,1.421085472268197e-06,-1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,0.4001374546587806,1.405770068383009,-0.2481263890466734,-0.33083481574351026,0.018299431308036705,0.03216173814539311,-0.00502004277140458,-0.4579735771283766,-0.3922548777037981,0.1123336666045712,False,False,False,False,1e-06,7,7,zero_zero_zero,2,66.09171993162064,2.842170943040401e-14,6.609171993162064e-07,1.4210854715202004e-14,14.444387772529794,14.444387772529794,0.048760920073649294,0.0032341747363285878,True,True,7.247535904753022e-13,2.4303542511816545e-09,6.549194520033552e-11,False,False,False,False,numerically_equivalent,7.542026422871624,False,8.112333666604572,False,0.3422480067904864,1.4636595162513033,False,False,False,False,False,False,False,False,False
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,7,0.42857142857142855,33,5.329070550588023e-07,-1.776356830474485e-07,1.776356830474485e-07,0.0,1.776356830474485e-07,3.34718303889634,0.417373436499485,-1.1819580833773788,-0.9999998651864584,0.5767428312841131,0.1469924766309435,-0.1703874276179527,0.6040595540921205,-0.6460443668698848,-8.0,False,True,False,True,1e-06,7,7,minus1_plus2_minus1,5,10.002228866989737,0.0,1.0002228866989737e-07,3.552713678800501e-15,,2.135713828010921e-11,1.1842369362913274e-08,2.5851779605901015e-09,False,True,1.900701818158268e-13,8.858554390034357e-09,8.873756174310188e-10,False,False,False,False,numerically_equivalent,8.604059554092121,False,0.0,False,1.0005849038208225e-07,3.764556375337335,False,True,False,False,True,True,True,False,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,6,0.5,29,6.661338188235028e-07,-4.4408921008381155e-08,0.0,0.0,4.4408921008381155e-08,0.46204748495057407,0.197308024295419,-0.30193645753646686,-0.9999997148235831,0.18317401277352516,0.04030168334741542,-0.054061599488696585,-0.3860438059518665,-0.4441935521371785,-8.0,False,True,False,True,1e-06,7,7,empirical,0,1.948857196589385,1.3322676295501878e-15,1.948857196589385e-08,1.3322676295501878e-15,,3.0672353545924125e-10,1.103404585478529e-07,1.2684608641233552e-08,False,True,0.0,0.0,0.0,False,False,False,False,numerically_equivalent,7.613956194048134,False,0.0,False,7.885973490884268e-08,0.6593554303862581,False,True,False,False,True,True,True,False,True
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,6,0.16666666666666666,16,2.6645352457117277e-07,-1.776356839102651e-07,-2.6645352457117277e-07,0.0,2.6645352457117277e-07,0.9540276926414044,0.7894351329141286,-0.8548331303778065,-0.9850145141132806,0.2006967219224855,0.14001701035719358,-0.1458299871076196,-0.023531290014576132,-0.8751869938254782,-1.8757422693783539,False,False,False,False,1e-06,7,7,empirical,0,5.470625818797242,0.0,5.4706258187972417e-08,2.6645352591003757e-15,0.010520090875075994,0.010520090875075994,0.00038527938891064206,0.0004923813427805124,True,True,0.0,0.0,0.0,False,False,False,False,numerically_equivalent,7.976468709985424,False,6.124257730621646,False,0.012946015562074198,1.7305168099934587,False,False,False,False,False,False,False,False,False
Cochrane DTA Reference Dataset,CD008081,legacy:CD008081:1,9,0.0,45,1.776356830474485e-07,0.0,-1.776356830474485e-07,0.0,1.776356830474485e-07,0.08765582027511473,0.7169434781082047,-0.2506875720894544,-0.9999999215173982,0.02142470523647234,0.09787956504545012,-0.02992563295897411,-1.2171686331121834,-0.8467250826407766,-8.0,False,True,False,True,1e-06,7,7,minus1_minus2_minus1,6,2.4031743937441155,0.0,2.4031743937441155e-08,8.881784197001252e-15,2.5870693143303924e-08,4.072966813423778,0.013634121657560394,0.0033427149136699974,True,True,1.1546319456101628e-14,2.0312096449259798e-10,4.4772896501399373e-10,False,False,False,False,numerically_equivalent,6.782831366887817,False,0.0,False,1.2259969928152259e-08,0.8045992861233495,False,True,False,False,True,True,True,False,True
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:1,15,0.4666666666666667,12,0.0,0.0,0.0,0.0,0.0,0.08571675219755318,0.3528808041789119,0.02636495664425534,0.15159336404796728,0.02057415127318093,0.06383675153761523,0.002169254975169027,-1.2283534987985971,0.09005217524836519,-0.5324368307596272,False,False,False,False,1e-06,7,7,minus1_minus2_minus1,6,14.578512528513116,7.105427357601002e-15,1.4578512528513115e-07,7.105427357601002e-15,0.46531975916921553,1.0257721361669727,0.006108080181097986,0.011890642479313707,True,True,2.1316282072803006e-14,1.679065331217089e-09,2.4219115601908925e-09,False,False,False,False,numerically_equivalent,6.771646501201403,False,7.467563169240373,False,0.08313979535335672,0.35545776102310833,False,False,False,False,False,False,False,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:3,7,0.42857142857142855,14,0.0,0.0,0.0,0.0,0.0,0.013773751054713151,0.8171482436082897,-0.10609050348325078,-0.9999999310128841,0.025752733969882157,0.2030126932404029,-0.015490492779473033,-2.142495297794072,-0.9039624609810367,-7.999066839878422,False,True,False,False,1e-06,7,7,lower_zero_lower,4,5.179433457012919,4.289280042257815e-11,5.179433457012919e-08,3.375077994860476e-14,,3.331918563276304e-08,7.573660341098076e-07,1.0793080427173862e-06,False,True,3.327629283234046e-08,3.731016119390418e-07,1.8383373279196036e-07,False,False,False,False,tiny_boundary_refinement,5.857504702205928,False,0.0009331601215780694,False,1.8689203518107433e-09,0.8309219927940825,True,True,False,False,True,False,True,False,True
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:4,9,0.5555555555555556,36,0.0,0.0,0.0,0.0,0.0,0.08354289777918085,0.7833492274469832,-0.07673407724249888,-0.29995478723449404,0.031469863894625486,0.15454077511496686,-0.009545108321825061,-1.2411975165945481,-0.265481038194046,-0.16922877095364378,False,False,False,False,1e-06,7,7,one_zero_one,3,10.82069841311113,2.6645352591003757e-14,1.082069841311113e-07,3.552713678800501e-15,0.7387407963715464,0.7387407963715464,0.0015658795800693737,0.007160473224650077,True,True,-1.7763568394002505e-15,1.2447309849505928e-09,1.4750315413536441e-09,False,False,False,False,numerically_equivalent,6.758802483405452,False,7.8307712290463565,False,0.075227772500701,0.7916643527254631,False,False,False,False,False,False,False,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:5,11,0.45454545454545453,19,0.0,0.0,0.0,0.0,0.0,0.10419297237131013,0.480053731082383,0.04892902251422625,0.21877737198055736,0.024950441767700546,0.10208996583906205,0.005331301577230516,-1.1307552977953748,0.151581892834451,-0.39145207706587626,False,False,False,False,1e-06,7,7,zero_zero_zero,2,10.491976093789786,5.861977570020827e-14,1.0491976093789786e-07,1.7763568394002505e-15,0.562690908934913,0.562690908934913,0.0031603556892660922,0.018268437515045477,True,True,-4.263256414560601e-14,6.990584777710751e-10,8.653247007828213e-10,False,False,False,False,numerically_equivalent,6.869244702204625,False,7.6085479229341235,False,0.09792789161278137,0.48631881184091175,False,False,False,False,False,False,False,False,False
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:6,6,0.0,16,1.776356830474485e-07,0.0,0.0,-1.776356830474485e-07,1.776356830474485e-07,0.8505954991827371,0.2859728067760384,0.14752742439784428,0.29912234111747643,0.19532057398485594,0.09059587875077839,0.025711443767202812,-0.08090929376033469,0.15995993544016965,-0.672795785258441,False,False,False,False,1e-06,7,7,minus2_zero_minus2,1,5.554867369295106,3.552713678800501e-15,5.5548673692951065e-08,0.0,,5.329070518200751e-15,2.315229008509334e-09,8.22423462665256e-10,False,True,1.7763568394002505e-15,1.6368688626755556e-09,1.3292156264554933e-10,False,False,False,False,numerically_equivalent,7.919090706239666,False,7.327204214741559,False,0.24974995207686462,0.886818353881911,False,False,False,False,False,False,False,False,False
