source,review_id,group_id,test_name,continuity_correction_rule,start_order,start_name,initial_log_l00,initial_l10,initial_log_l11,optimizer_success,optimizer_status,optimizer_message,optimizer_iterations,optimizer_reported_objective,endpoint_log_l00,endpoint_l10,endpoint_log_l11,endpoint_log_l00_at_lower_bound,endpoint_log_l11_at_lower_bound,raw_gradient_log_l00,raw_gradient_l10,raw_gradient_log_l11,raw_gradient_max_abs,projected_kkt_gradient_log_l00,projected_kkt_gradient_l10,projected_kkt_gradient_log_l11,projected_kkt_gradient_max_abs,recomputed_objective,sensitivity,specificity,reported_token_signature,finite_recomputed_objective,covariance_matrices_psd,valid_endpoint,selected,numerical_tie_with_minimum,objective_delta_from_minimum,maximum_central_probability_delta_from_minimum
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,0,empirical,-0.10418908191314177,-0.4268766314423596,0.2098843942405044,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,66.0917199316214,-0.4579736201666046,-0.3922553147873431,0.11233357792486713,False,False,-1.421085472268197e-06,-7.105427361340985e-06,-2.842170944536394e-06,7.105427361340985e-06,-1.421085472268197e-06,-7.105427361340985e-06,-2.842170944536394e-06,7.105427361340985e-06,66.0917199316214,0.6673981961053157,0.868537693952975,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,False,True,7.531752999057062e-13,2.0275352508036804e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,1,minus2_zero_minus2,-2.0,0.0,-2.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,66.09171993162066,-0.4579736176601501,-0.3922550588236255,0.11233365694788766,False,False,-2.842170944536394e-06,-2.842170944536394e-06,0.0,2.842170944536394e-06,-2.842170944536394e-06,-2.842170944536394e-06,0.0,2.842170944536394e-06,66.09171993162066,0.6673981965567682,0.8685376944035168,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,False,True,1.4210854715202004e-14,1.5760827087873963e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,2,zero_zero_zero,0.0,0.0,0.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,66.09171993162067,-0.4579735771283766,-0.3922548777037981,0.1123336666045712,False,False,-1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,-1.421085472268197e-06,0.0,-1.421085472268197e-06,1.421085472268197e-06,66.09171993162067,0.66739819853567,0.8685376940184669,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,True,True,2.842170943040401e-14,4.0281900037797413e-10
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,3,one_zero_one,1.0,0.0,1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,66.09171993162066,-0.45797359180979585,-0.39225506777004154,0.112333659672756,False,False,-1.421085472268197e-06,-1.421085472268197e-06,-2.842170944536394e-06,2.842170944536394e-06,-1.421085472268197e-06,-1.421085472268197e-06,-2.842170944536394e-06,2.842170944536394e-06,66.09171993162066,0.6673981975279195,0.8685376944743443,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,False,True,1.4210854715202004e-14,6.049314382750026e-10
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,4,lower_zero_lower,-8.0,0.0,-8.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,80.53610770415044,-1.0685475367365889,-1.1641516596349766,-7.997152358855878,False,False,0.0,-4.263256440470418e-06,-7.105427400784031e-06,7.105427400784031e-06,0.0,-4.263256440470418e-06,-7.105427400784031e-06,7.105427400784031e-06,80.53610770415044,0.6186372826928555,0.8653035200986812,61.9%|86.5%|0.6186|0.8653|0.5735|0.8198|0.6619|0.9007|0.4464|0.3899|0.7654|0.9847|0.133|0.1326,True,True,True,False,False,14.444387772529794,0.0487609154399955
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,5,minus1_plus2_minus1,-1.0,2.0,-1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,66.09171993162064,-0.4579735782744047,-0.39225507487134603,0.1123336309373329,False,False,1.421085472268197e-06,0.0,0.0,1.421085472268197e-06,1.421085472268197e-06,0.0,0.0,1.421085472268197e-06,66.09171993162064,0.667398198132851,0.8685376940571136,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,False,True,0.0,0.0
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,Overall,universal,6,minus1_minus2_minus1,-1.0,-2.0,-1.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,66.09171993162086,-0.4579734637580409,-0.39225486966295664,0.1123337207812361,False,False,4.263256416804591e-06,1.421085472268197e-06,1.421085472268197e-06,4.263256416804591e-06,4.263256416804591e-06,1.421085472268197e-06,1.421085472268197e-06,4.263256416804591e-06,66.09171993162086,0.6673982027665047,0.8685376948350098,66.7%|86.9%|0.6674|0.8685|0.6062|0.8230|0.7234|0.9037|0.3609|0.3865|0.8770|0.9858|0.160|0.1601,True,True,True,False,True,2.1316282072803006e-13,4.633653793995052e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Children,universal,0,empirical,0.6673080299188268,-0.5348771627224813,-1.9195185237085164,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,10.002228866989928,0.6040593452189803,-0.6460443466206952,-8.0,False,True,-1.776356830474485e-06,-3.55271366094897e-07,5.329070550588023e-07,1.776356830474485e-06,-1.776356830474485e-06,-3.55271366094897e-07,0.0,1.776356830474485e-06,10.002228866989928,0.4415733074747398,0.9643787337089734,44.2%|96.4%|0.4416|0.9644|0.1515|0.9274|0.7779|0.9829|0.0160|0.8613|0.9746|0.9916|0.145|0.1446,True,True,True,False,True,1.900701818158268e-13,8.858554390034357e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Children,universal,1,minus2_zero_minus2,-2.0,0.0,-2.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,10.0022288669898,0.6040594877089338,-0.6460444538042728,-8.0,False,True,-7.10542732189794e-07,-5.329070491423455e-07,5.329070550588023e-07,7.10542732189794e-07,-7.10542732189794e-07,-5.329070491423455e-07,0.0,7.10542732189794e-07,10.0022288669898,0.4415733117524029,0.9643787342176904,44.2%|96.4%|0.4416|0.9644|0.1515|0.9274|0.7779|0.9829|0.0160|0.8613|0.9746|0.9916|0.145|0.1446,True,True,True,False,True,6.217248937900877e-14,4.58089127741701e-09
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,Children,universal,2,zero_zero_zero,0.0,0.0,0.0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,10.002228866989753,0.6040595769458835,-0.6460442891416318,-8.0,False,True,3.55271366094897e-07,7.10542732189794e-07,5.329070550588023e-07,7.10542732189794e-07,3.55271366094897e-07,7.10542732189794e-07,0.0,7.10542732189794e-07,10.002228866989753,0.44157331881418116,0.9643787317706328,44.2%|96.4%|0.4416|0.9644|0.1515|0.9274|0.7779|0.9829|0.0160|0.8613|0.9746|0.9916|0.145|0.1446,True,True,True,False,True,1.5987211554602254e-14,2.4808869958370394e-09
