replicate,studies,true_sensitivity,estimated_sensitivity,pooled_mean_sensitivity_low,pooled_mean_sensitivity_median,pooled_mean_sensitivity_high,sensitivity_interval_includes_truth,true_specificity,estimated_specificity,pooled_mean_specificity_low,pooled_mean_specificity_median,pooled_mean_specificity_high,specificity_interval_includes_truth,predictive_sensitivity_low,predictive_sensitivity_median,predictive_sensitivity_high,predictive_specificity_low,predictive_specificity_median,predictive_specificity_high,true_sd_sensitivity,estimated_sd_sensitivity,true_sd_specificity,estimated_sd_specificity,true_correlation,estimated_correlation,optimizer_iterations,optimizer_max_abs_gradient
1,5,0.65,0.626268895655648,0.5804443345783408,0.626268895655648,0.6699344993301349,True,0.7,0.740259646074785,0.6866211218045244,0.740259646074785,0.7875578809675078,True,0.570365410708177,0.626268895655648,0.6789922275555278,0.6391955344229895,0.740259646074785,0.8209449516551021,0.25,0.06752361048186815,0.3,0.20210196989747453,-0.35,-0.9999986224178721,31,2.6645352752940114e-07
2,8,0.8,0.7351223483461283,0.6390903622401171,0.7351223483461283,0.8130755633747361,True,0.7,0.6565003636461654,0.5886137301529488,0.6565003636461654,0.7185411720769498,True,0.43710465114487307,0.7351223483461283,0.9084170885136836,0.46484053894079597,0.6565003636461654,0.8078879736625164,0.65,0.6080687499247123,0.3,0.37426576115262006,0.0,-0.26396697846797934,12,1.7763568403352462e-07
3,15,0.92,0.9241444561048576,0.9091598314504803,0.9241444561048576,0.9368290258192862,True,0.7,0.7447830595206851,0.689622724807965,0.7447830595206851,0.7930816653565923,True,0.9033953167444949,0.9241444561048576,0.9407294031522387,0.5187222896155061,0.7447830595206851,0.8876575181770172,0.25,0.09027164667664138,0.75,0.48879461428134213,0.35,0.9999997644914326,28,1.7763568501960078e-07
4,30,0.65,0.6757714963172456,0.6222510933230537,0.6757714963172456,0.7250594878659326,True,0.85,0.8346686010855086,0.7949608189988732,0.8346686010855086,0.8679638027251442,True,0.3760203333162712,0.6757714963172456,0.8781779100583542,0.5663270136935387,0.8346686010855086,0.9512598776614185,0.65,0.6216282941846939,0.75,0.6766359067876787,-0.35,-0.3203157963956403,17,3.5527136806704924e-07
5,5,0.8,0.7732460200664695,0.7385004448445373,0.7732460200664695,0.8045964791170793,True,0.85,0.8249767906352254,0.7683599862049938,0.8249767906352254,0.8700950549492009,True,0.7351230699378201,0.7732460200664695,0.8073201998749661,0.6966187214281266,0.8249767906352254,0.9063299950987431,0.25,0.042291847276074594,0.3,0.3201672544278296,0.0,-0.9999994510856436,20,8.881784250980039e-08
6,8,0.92,0.9264512808853713,0.8791921560050457,0.9264512808853713,0.9561451574605678,True,0.85,0.8294979941379251,0.7941480859492464,0.8294979941379251,0.8598487562323687,True,0.7520182108824355,0.9264512808853713,0.9812461012071265,0.7581098013926485,0.8294979941379251,0.8830673069699432,0.65,0.6704649685605232,0.3,0.19060148651647724,0.35,0.9999984511617571,24,3.996802912941017e-06
7,15,0.65,0.6583618114730635,0.6164194597412141,0.6583618114730635,0.6979651433020821,True,0.95,0.9401287375409303,0.9187707114505079,0.9401287375409303,0.9561390799508053,True,0.525508563269724,0.6583618114730635,0.770278048242535,0.8456776335504371,0.9401287375409303,0.9782583887462054,0.25,0.2669713943896126,0.75,0.510368610250564,-0.35,0.1280372572057109,8,3.5527136806704924e-07
8,30,0.8,0.7792184072950148,0.7316724481612588,0.7792184072950148,0.8204074400449851,True,0.95,0.9319997545384067,0.9156656967822244,0.9319997545384067,0.9453589794612642,False,0.48622621845741404,0.7792184072950148,0.9293891633764041,0.8340587678509703,0.9319997545384067,0.9739406137527508,0.65,0.6585296142383592,0.75,0.4978288338863921,0.0,0.2642074140436068,8,3.5527136806704924e-07
9,5,0.92,0.8864033878451917,0.8565726352117861,0.8864033878451917,0.9106767774036211,False,0.95,0.9084191684986214,0.8606434702409522,0.9084191684986214,0.9409398683477359,False,0.8437733160955725,0.8864033878451917,0.918524116204599,0.8076518858738304,0.9084191684986214,0.9590716788281861,0.25,0.1289485186157156,0.3,0.3659660747836321,0.35,0.9999995798767379,34,2.2204460627450096e-07
10,8,0.65,0.588495690626666,0.47306054842624634,0.588495690626666,0.6949496353562529,True,0.7,0.6904752027674304,0.6527909848903741,0.6904752027674304,0.7257874476516551,True,0.2734962524879476,0.588495690626666,0.8445468675345192,0.6070775934679083,0.6904752027674304,0.7630798007496133,0.65,0.6382043894897931,0.3,0.1658486773062702,-0.35,-0.16977752393866238,11,8.881784250980039e-08
