source,review_id,group_id,sensitivity_historical_reml,specificity_historical_reml,information_bits_at_20_percent_historical_reml,sensitivity_v042_manifest_sheet,specificity_v042_manifest_sheet,information_bits_at_20_percent_v042_manifest_sheet,study_rows,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,row_selection_changed,interpretation
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:5,0.659622541493707,0.7953974887906169,0.1059874321036528,0.6596225489258236,0.7953974781492943,0.1059874293730147,6,7.43211658882359e-09,1.0641322600868364e-08,2.7306381045200112e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:10,0.7901532969465197,0.7820096614897123,0.163960091685726,0.790153319101319,0.7820096655781336,0.1639601073560512,22,2.2154799328433228e-08,4.088421268200193e-09,1.5670325204109048e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:13,0.7666802624837251,0.867196854966569,0.2172982311987047,0.7666802580160103,0.8671968549978409,0.2172982283438017,14,4.467714864730965e-09,3.127198500152417e-11,2.8549030084423777e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:19,0.6751929148269395,0.8625764335307247,0.1593524340252655,0.6751929225211832,0.8625764314376763,0.15935243643051678,9,7.694243686628965e-09,2.0930484012637862e-09,2.4052512759276112e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:24,0.8336580492006639,0.978438083160181,0.4387575650403047,0.8336580438395804,0.9784380826296857,0.4387575588190362,9,5.36108346604891e-09,5.304953143436819e-10,6.221268500361532e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:37,0.716049078038264,0.9757033808816418,0.3365063341364419,0.7160491488416085,0.9757033757130626,0.33650637425601465,8,7.080334452069792e-08,5.168579120251593e-09,4.0119572775054735e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:56,0.6661553323051446,0.983445920287916,0.3198822820513259,0.666155332742984,0.9834459207530594,0.31988228360777976,6,4.378394313775402e-10,4.651433682667516e-10,1.556453854689721e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009323,legacy:CD009323:1,0.6148375095869115,0.9809989801817852,0.278464919545017,0.6148375638421202,0.9809989803667799,0.27846495597526183,16,5.425520865909306e-08,1.8499468623645043e-10,3.643024482080648e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:1,0.4461332215992565,0.759897951954942,0.0227370876052013,0.4461332215082634,0.7598979523073985,0.022737087673363188,20,9.099310194216059e-11,3.5245650842341547e-10,6.816188932723399e-11,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:2,0.5822832354973363,0.7513414202679847,0.0558992458585713,0.5822832373271224,0.7513414184223314,0.05589924573867672,11,1.8297861004157312e-09,1.8456532968613715e-09,1.1989458037486855e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:5,0.7338658578210672,0.4808985051569679,0.0225303289195828,0.7338658567961608,0.48089850525647143,0.022530328713280312,19,1.024906381985602e-09,9.950351653742473e-11,2.0630248898090287e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:6,0.8818492122859928,0.4443636857678113,0.0597745076773976,0.8818492162442587,0.44436368303156554,0.05977450855765884,10,3.9582659372428e-09,2.7362457855062416e-09,8.802612389002817e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010502,legacy:CD010502:2,0.8399392732938745,0.9462095561654424,0.3747090842486255,0.8399392719748975,0.9462095556356092,0.3747090821688425,105,1.3189770387000976e-09,5.298332883540979e-10,2.0797829569652038e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011420,legacy:CD011420:2,0.4415253652657006,0.9242503955972362,0.0994522501779164,0.44152537712065115,0.9242503960900087,0.09945225576832867,5,1.185495057676178e-08,4.927724894798757e-10,5.590412271994083e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD012165,legacy:CD012165:12,0.7564997705663067,0.7222281602198974,0.1112544847220146,0.756499801891888,0.7222282219607791,0.11125453088117912,8,3.132558135110486e-08,6.174088162946845e-08,4.6159164518444484e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD012165,legacy:CD012165:26,0.8867561916353072,0.7691188942145452,0.2188167346176738,0.8867562101576616,0.7691188942925755,0.21881674870134996,8,1.852235442800776e-08,7.803035995124219e-11,1.4083676141973811e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:1,0.881468104467073,0.9890703868054286,0.5164326683402659,0.8814681032516721,0.989070386861848,0.5164326673135384,38,1.2154008910414404e-09,5.641942468770367e-11,1.0267274808128946e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:2,0.952731035677812,0.8903190056781995,0.3990132382746231,0.9527310353495277,0.890319005672086,0.3990132378918075,38,3.282842886420667e-10,6.113554107400887e-12,3.828156125429416e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:3,0.9191148679565349,0.9028239989919984,0.3800554885960775,0.9191148683618203,0.902824001000228,0.3800554917625089,38,4.052854718494814e-10,2.0082295826284735e-09,3.1664313948631673e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:1,0.6313697225573403,0.923323073559516,0.1942451835822604,0.6313697164633414,0.9233230734273642,0.19424517990308166,5,6.0939988610897444e-09,1.321518450225767e-10,3.6791787394463427e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:2,0.8894272099526552,0.9395144574743776,0.4076353478784971,0.8894268809161817,0.9395143869305321,0.40763490998637014,8,3.2903647351201215e-07,7.054384543181413e-08,4.378921269476699e-07,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:6,0.625892061542713,0.9476777812533944,0.223180204013757,0.6258920604319687,0.9476777829106197,0.22318020580088122,7,1.1107443853575205e-09,1.6572252459212677e-09,1.787124226382275e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:7,0.6687812586280253,0.9735241134898864,0.2977063781130703,0.6687812592009591,0.9735241130638814,0.2977063775714059,10,5.729338115045834e-10,4.2600500904654837e-10,5.416644355271671e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:9,0.5648974921995369,0.973107674371981,0.2292237094935557,0.5648974467514303,0.973107672948585,0.2292236788183737,6,4.544810661144538e-08,1.4233959566567478e-09,3.067518200561281e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:10,0.8140135049187557,0.956600809067041,0.3722117495917739,0.8140135406336484,0.9566008045292742,0.3722117703948482,6,3.5714892709926005e-08,4.5377668289603434e-09,2.0803074318731518e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:12,0.8776842432130584,0.9399077357341148,0.3972608197311882,0.8776842997858987,0.9399077178393246,0.39726084113165694,14,5.657284030124998e-08,1.7894790205197353e-08,2.1400468730448097e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:21,0.7661052342548146,0.6919740488282121,0.1010875565482828,0.7661052348394163,0.6919740499761876,0.10108755735022501,7,5.846017003818815e-10,1.1479754924437202e-09,8.019422070848492e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:33,0.8676412666743499,0.8989311672337491,0.3274778768552466,0.8676412811648538,0.8989311082928707,0.3274778137006413,5,1.4490503907893526e-08,5.894087840019324e-08,6.315460532313466e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:36,0.9015355906106194,0.9424378026842436,0.4246318696607269,0.9015355710075782,0.9424378064769471,0.42463185704162787,6,1.960304119030809e-08,3.7927034846063634e-09,1.2619099043487125e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,0.6673981961053157,0.868537693952975,0.1601267069956971,0.66739819853567,0.8685376940184669,0.16012670835262616,50,2.4303542511816545e-09,6.549194520033552e-11,1.3569290691073377e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,0.4415733090558327,0.9643787357398624,0.1446267328478275,0.44157331633329416,0.9643787328215978,0.14462673230646295,7,7.277461466781432e-09,2.918264629947487e-09,5.413645642882159e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:2,0.8070492746454586,0.7889868336963558,0.1788987541167387,0.807049311811851,0.7889868234329308,0.1788987698007898,7,3.7166392408138904e-08,1.0263424998768755e-08,1.5684051113407094e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:3,0.6915400618237723,0.8713569294631675,0.1758257378445979,0.6915400611727838,0.8713569297045841,0.1758257376914122,23,6.509884853400649e-10,2.4141666443711074e-10,1.531857141134907e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:4,0.6654234984033641,0.9468955699441864,0.2468259872196033,0.6654235054406229,0.9468955654059342,0.24682598476758455,7,7.0372587757105975e-09,4.5382522184667096e-09,2.452018754706131e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:37,0.5464064128584373,0.9494624465333196,0.1794211268855152,0.5464064129237599,0.9494624465317107,0.17942112691953926,5,6.532263618908019e-11,1.6088241849843143e-12,3.402406134611624e-11,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:39,0.4178171302355236,0.9497218108327832,0.1139998352486387,0.4178171255921534,0.9497218108446117,0.11399983308445161,7,4.643370188350815e-09,1.1828538148961343e-11,2.164187093423031e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:55,0.6775867432982415,0.9498724555847684,0.2594513981560948,0.6775867432993596,0.949872455582919,0.25945139815385465,17,1.1181056080999952e-12,1.8494095144205858e-12,2.2401525079374096e-12,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010023,legacy:CD010023:2,0.7843819493661884,0.9615323328377988,0.3579360912532632,0.7843818274087159,0.9615323940850976,0.3579361181883657,5,1.2195747256527056e-07,6.12472987882029e-08,2.6935102481751017e-08,False,same locked analysis rows; regenerated central estimate
