member_path,source_path,role,upload_designation,bytes,sha256
repository/.gitattributes,.gitattributes,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,530,6b5263e5cd725e7f81121db2e22ff9b1cc65f39ac89839e1be506df67314cf75
repository/VERSION,VERSION,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,7,6c17554dba43398fe2fba3e3c6fa2dac4695faa18b6e61aa72342cdc56fe7852
repository/analysis/bmj_rmr_v040/operating_points_regularized.csv,analysis/bmj_rmr_v040/operating_points_regularized.csv,locked analysis input,reviewer reproducibility material,761381,2c2a1035e7c46082bfe9a8b2f461de2b96b090a975478e6d7fa6499a01104c00
repository/analysis/bmj_rmr_v040/operating_points_wide_prior.csv,analysis/bmj_rmr_v040/operating_points_wide_prior.csv,locked analysis input,reviewer reproducibility material,760439,75364c2762f46951a5cfb38f77b1399aa482c0f318fc403fe20ce59e6f433c45
repository/analysis/bmj_rmr_v040/pair_continuous_metrics.csv,analysis/bmj_rmr_v040/pair_continuous_metrics.csv,locked analysis input,reviewer reproducibility material,123818,2245780de83f41b1ed8d06a6aa3be5065063fec62d38b1b53601b2bd3f8aa6e0
repository/analysis/bmj_rmr_v040/simulation_recovery.csv,analysis/bmj_rmr_v040/simulation_recovery.csv,locked analysis input,reviewer reproducibility material,3747,4ca12ee60e38f755ad439f0eb467616912e76cb78f92040011024a1573fe5f12
repository/analysis/bmj_rmr_v040_gh9_validation/operating_points_regularized.csv,analysis/bmj_rmr_v040_gh9_validation/operating_points_regularized.csv,locked analysis input,reviewer reproducibility material,761096,daf1f8519f36f825ac09f0db3eb2ec0558bbb76c6bc610ec2277af7ec3f2bcdb
repository/analysis/bmj_rmr_v041/visual_summary.json,analysis/bmj_rmr_v041/visual_summary.json,locked analysis input,reviewer reproducibility material,7590,db62940c69eadc1a063868291f5bfa9f21b5861d634d222f4df1b0c552811c81
repository/analysis/bmj_rmr_v042/appendicitis_worked_profile.csv,analysis/bmj_rmr_v042/appendicitis_worked_profile.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,10795,75074b90d4d62a6bad904db62a69439ad9c132b4332ab7862ad6a35dfab9c7be
repository/analysis/bmj_rmr_v042/branch_entropy_summary.csv,analysis/bmj_rmr_v042/branch_entropy_summary.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,1442,6c3518f0a8320bc458eb53303c8f273450801dac44c18270be7befb5f91223bd
repository/analysis/bmj_rmr_v042/derived_operating_points_standard_anchors.csv,analysis/bmj_rmr_v042/derived_operating_points_standard_anchors.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,2464539,0aa8eaff3ae4f098bca42b9015991fbf51a08906f085f8592585383670ffb912
repository/analysis/bmj_rmr_v042/input_checksums.csv,analysis/bmj_rmr_v042/input_checksums.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,6698,addc3b0e742c6673c1993df3e4915695a92df4997876794fc7df977b43f9d00b
repository/analysis/bmj_rmr_v042/operating_points_primary.csv,analysis/bmj_rmr_v042/operating_points_primary.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,656890,e2f8652828b26ada988c8a6909b309d750b0e65235d177198b5ce6057c6d4d94
repository/analysis/bmj_rmr_v042/phase6_artifact_manifest.csv,analysis/bmj_rmr_v042/phase6_artifact_manifest.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,3114,ca4de9285191692734c4f3827e9d3688fa3c3c9de5ee1dfb3afda4e6efc4b33c
repository/analysis/bmj_rmr_v042/phase6_numeric_claim_manifest.csv,analysis/bmj_rmr_v042/phase6_numeric_claim_manifest.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,13428,747a68821fb56168e56a84cfc5cf7109e6167e81b7b7f1269a8e42a95559322c
repository/analysis/bmj_rmr_v042/phase6_source_manifest.csv,analysis/bmj_rmr_v042/phase6_source_manifest.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,8134,3d7244504c20d4cb9f9846f2c5ce9c6809ed8b0cb66f1558bc0592a88c218328
repository/analysis/bmj_rmr_v042/phase7_source_manifest.csv,analysis/bmj_rmr_v042/phase7_source_manifest.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,6906,a624ad817020f633d76eab5b00dd0c5dc10d17f0920aeb45a0e81e474edf5e10
repository/analysis/bmj_rmr_v042/qa/phase7/reviewer_toolchain_environment.json,analysis/bmj_rmr_v042/qa/phase7/reviewer_toolchain_environment.json,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,5370,7805263e192ae5423af74b5f2129c872e4a068376fc9ca9d4974cedde413463b
repository/analysis/bmj_rmr_v042/source_trace_all_primary.csv,analysis/bmj_rmr_v042/source_trace_all_primary.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,3770674,d6b05688fc4ffb6f47ae565a76c413afb1d74181f07a2ac4eefaca14526a56b3
repository/analysis/bmj_rmr_v042/theoretical_non_equivalence_examples.csv,analysis/bmj_rmr_v042/theoretical_non_equivalence_examples.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,1323,1d132ba1a3d23398dc330199fbb5691d65ca622cafc5981edbfd4533543b90bc
repository/analysis/bmj_rmr_v042/version_diff_all_releases.csv,analysis/bmj_rmr_v042/version_diff_all_releases.csv,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,633566,a8c6270d961ad19c3033abc8813e43535eee74fcaf70992399504e6aa1253a65
repository/analysis/full_atlas/model_validation.csv,analysis/full_atlas/model_validation.csv,locked analysis input,reviewer reproducibility material,15239,1d3fce6da068c93f1813b091f622a7c493476734eefe4ff85f78571affa1be5f
repository/analysis/full_atlas/normalized_study_data.csv,analysis/full_atlas/normalized_study_data.csv,locked analysis input,reviewer reproducibility material,5490291,15bad58513c504a88b3de4b04f150e7cb83a3a4479f8cc2bc7c4e89cb9ab048c
repository/analysis/full_atlas/operating_points_20_percent.csv,analysis/full_atlas/operating_points_20_percent.csv,locked analysis input,reviewer reproducibility material,772525,9f9b591a21c89923d17ea39a78d0d613fa17669359fb843261dbd5bca2318dcb
repository/analysis/full_atlas/orientation_audit.csv,analysis/full_atlas/orientation_audit.csv,locked analysis input,reviewer reproducibility material,5336,a0ce5d427e4be8ab7a128e3340f7cb3447d66e8fa2a02ba176882049a4d0b5b1
repository/analysis/full_atlas/pmc_manual_validation.csv,analysis/full_atlas/pmc_manual_validation.csv,locked analysis input,reviewer reproducibility material,24431,ab7aaab1388004fbe9161f492b7fb02d8896cc4400d24a361e610e0e7db2bd5d
repository/analysis/full_atlas/source_stability.csv,analysis/full_atlas/source_stability.csv,locked analysis input,reviewer reproducibility material,599,cf26f418cc70015f19ea7198d1d033c23482e4d6514a0c129365176fb1b482ee
repository/analysis/full_atlas/test_group_manifest.csv,analysis/full_atlas/test_group_manifest.csv,locked analysis input,reviewer reproducibility material,734469,000dc46b13a32ef948e84463d8551ae72aa4c5978788882f672862168d66e16c
repository/docs/manuscript/v19/BMJ_REQUIREMENTS_AUDIT.md,docs/manuscript/v19/BMJ_REQUIREMENTS_AUDIT.md,dated BMJ requirements audit,reviewer reproducibility material,6025,46a13387326c428ab9f6c3046691c84486af74465f2b66a5f1607ba3acd6444f
repository/docs/manuscript/v19/DATA_CODE_AI_DISCLOSURE.md,docs/manuscript/v19/DATA_CODE_AI_DISCLOSURE.md,data code and AI disclosure,reviewer reproducibility material,2996,7ddb18c1d023da4ec414e51302278bb9f23b10740c9bc738933b56a6314ce568
repository/docs/manuscript/v19/REVIEWER_REPRODUCIBILITY_README.md,docs/manuscript/v19/REVIEWER_REPRODUCIBILITY_README.md,reviewer instructions,reviewer reproducibility material,2768,20d8eedb66c784e4bba8b65cc8e11aa5109c9067f7deb209907734724a5cbd8d
repository/docs/manuscript/v19/cover-letter.template.md,docs/manuscript/v19/cover-letter.template.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,2830,3ec8ce70faca26ecc7cb673669075f18588ad9aadc1607ef70b2136a627d5f24
repository/docs/manuscript/v19/draft.md,docs/manuscript/v19/draft.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,46096,fac80ea5b1e9ca310879336820e9bf7d6e9169a91579f29c73c24c6be28c9daf
repository/docs/manuscript/v19/draft.template.md,docs/manuscript/v19/draft.template.md,"reproduction source, immutable manifest, or key output",reviewer reproducibility material,38206,634b05b85ec5bb160014e7d3deff311b9ec1048047101d55b8e631d7b334d4f2
repository/docs/manuscript/v19/figures/figure_1_framework_and_worked_profile.pdf,docs/manuscript/v19/figures/figure_1_framework_and_worked_profile.pdf,colour figure master,reviewer reproducibility material,29998,c0d75999cb47f1f8a25aa9133ba7d37a24c45daa99393180803dc83cd7ee7400
