source,source_version,review_id,review_title,group_id,group_number,test_name,analysis_scope,study_rows,unique_studies,paired_studies,eligibility,primary_atlas,published_studies,published_sensitivity,published_sensitivity_low,published_sensitivity_high,published_specificity,published_specificity_low,published_specificity_high,model_status,source_file,source_sheet,source_url,source_sha256,source_license,source_license_url,selection_status,duplicate_of_group_id,sensitivity,specificity,model,sensitivity_difference,specificity_difference,absolute_sensitivity_difference,absolute_specificity_difference,large_discrepancy,threshold_metadata_status,study_count_metadata_status,estimator_comparison_status,explanation_from_available_metadata
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:5,5,Typhidot indeterminate results reported,reported_main,6,6,6,eligible,True,6.0,0.66,0.59,0.73,0.81,0.58,0.93,converged,,,,,,,,,0.6596225489258236,0.7953974781492943,continuity-corrected bivariate REML,-0.0003774510741764159,-0.014602521850705763,0.0003774510741764159,0.014602521850705763,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:10,10,Typhidot (all types),reported_main,22,22,22,eligible,True,22.0,0.84,0.73,0.91,0.79,0.7,0.87,converged,,,,,,,,,0.790153319101319,0.7820096655781336,continuity-corrected bivariate REML,-0.04984668089868094,-0.007990334421866474,0.04984668089868094,0.007990334421866474,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:13,13,TUBEX,reported_main,14,14,14,eligible,True,14.0,0.78,0.71,0.85,0.87,0.82,0.91,converged,,,,,,,,,0.7666802580160103,0.8671968549978409,continuity-corrected bivariate REML,-0.013319741983989775,-0.0028031450021590576,0.013319741983989775,0.0028031450021590576,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,legacy:CD008892:19,19,Test-it Typhoid and KIT prototypes (threshold > 1+),reported_main,9,9,9,eligible,True,9.0,0.69,0.59,0.78,0.9,0.78,0.93,converged,,,,,,,,,0.6751929225211832,0.8625764314376763,continuity-corrected bivariate REML,-0.01480707747881671,-0.03742356856232376,0.01480707747881671,0.03742356856232376,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010705,GenoType,legacy:CD010705:24,24,Direct; FQ; culture,reported_main,9,9,9,eligible,True,9.0,0.862,0.746,0.93,0.986,0.969,0.994,converged,,,,,,,,,0.8336580438395804,0.9784380826296856,continuity-corrected bivariate REML,-0.028341956160419568,-0.007561917370314419,0.028341956160419568,0.007561917370314419,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010705,GenoType,legacy:CD010705:37,37,Direct; SLID; culture,reported_main,8,8,8,eligible,True,8.0,0.87,0.381,0.986,0.995,0.936,1.0,converged,,,,,,,,,0.7160491488416085,0.9757033757130626,continuity-corrected bivariate REML,-0.15395085115839147,-0.019296624286937347,0.15395085115839147,0.019296624286937347,True,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,"Available metadata: test label 'Direct; SLID; culture', analysis scope 'reported_main', source model status 'converged', and no separate threshold field. The source-reported and canonical study counts both equal 8. The locked metadata do not contain enough threshold or pooling-definition detail to attribute the difference to a single cause."
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010705,GenoType,legacy:CD010705:56,56,Direct; XDR; culture,reported_main,6,6,6,eligible,True,6.0,0.694,0.388,0.89,0.994,0.95,0.993,converged,,,,,,,,,0.666155332742984,0.9834459207530594,continuity-corrected bivariate REML,-0.027844667257015954,-0.010554079246940629,0.027844667257015954,0.010554079246940629,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009323,Diagnostic accuracy of laparoscopy following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer,legacy:CD009323:1,1,All,reported_main,16,16,16,eligible,True,16.0,0.644,0.501,0.766,1.0,1.0,1.0,converged,,,,,,,,,0.6148375638421202,0.98099898036678,continuity-corrected bivariate REML,-0.029162436157879834,-0.019001019633219984,0.029162436157879834,0.019001019633219984,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,legacy:CD010657:1,1,Ultrasound,reported_main,20,20,20,eligible,True,20.0,0.44,0.34,0.54,0.78,0.68,0.86,converged,,,,,,,,,0.4461332215082634,0.7598979523073985,continuity-corrected bivariate REML,0.006133221508263398,-0.020102047692601488,0.006133221508263398,0.020102047692601488,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,legacy:CD010657:2,2,Ultrasound for high-grade VUR,reported_main,11,11,11,eligible,True,11.0,0.59,0.45,0.72,0.79,0.65,0.88,converged,,,,,,,,,0.5822832373271224,0.7513414184223314,continuity-corrected bivariate REML,-0.007716762672877575,-0.03865858157766866,0.007716762672877575,0.03865858157766866,False,no separate threshold field available,source-reported study count matches canonical row count,source pooling estimator is not fully specified in locked metadata; canonical estimator is continuity-corrected bivariate REML,Difference is below 0.10 for both sensitivity and specificity; the source-reported summary and canonical REML estimate remain distinct.
