analysis_version,operating_point_id,source,source_route,review_id,review_title,group_id,test_name,study_id,tp,fp,fn,tn,source_status,source_file,source_sheet_row,source_row,group_source_url,group_url_availability,group_source_sha256,effective_source_file,effective_source_sha256,source_identity_level,source_identity,primary_selection_decision,operating_point_result_file,claim_ids
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Acosta 2012,8,4,4,168,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Adam 2004,1,41,1,175,ok,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Allan 2005,0,11,1,113,ok,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Badiee 2013,9,5,1,47,ok,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Barnes 2013,33,39,20,457,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Becker 2003,6,12,7,62,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Bialek 2002,1,8,0,8,ok,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Bretagne 1998,14,5,4,18,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Buchheidt 2004,3,1,6,167,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
0.42.0,Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,Busca 2006,2,12,0,60,corrected,,,,,unavailable; not inferred,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,archive_or_package,Cochrane DTA Reference Dataset|CL145_open_set_20181101|CL145_open_set_20181101.zip|f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,manifest primary_atlas true; canonical manifest-sheet row,analysis/bmj_rmr_v042/operating_points_primary.csv,C001;C002;C006;C011
