analysis_version,example_id,classification,test_label,sensitivity,specificity,starting_probability,information_bits,fraction_entropy_removed,post_negative_probability,numerical_crossing_probability
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.01,0.02104571612750523,0.26048891275391534,0.0031796502384737685,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.02,0.04094560583668341,0.2894898810542723,0.006403415154749201,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.03,0.059811197303364594,0.3076836549151449,0.009672219236969372,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.04,0.0777329645713918,0.3208232377022736,0.01298701298701299,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.05,0.09478575872231165,0.33095937776997697,0.016348773841961855,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.060000000000000005,0.11103251655956906,0.3390876146323348,0.019758507135016472,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.06999999999999999,0.12652688004477272,0.34577398791660224,0.023217247097844115,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.08,0.14131509929830943,0.35137347416517534,0.0267260579064588,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.09,0.1554374485678955,0.35612416366712224,0.030286034772854745,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.09999999999999999,0.1689293016772856,0.360193792833849,0.03389830508474576,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.11,0.18182196355204908,0.36370505998572145,0.03756402959590212,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.12,0.1941433232868827,0.3667504268217706,0.04128440366972477,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.13,0.20591837420052328,0.36940127126415656,0.04506065857885616,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.14,0.2171696331038976,0.37171380739534465,0.04889406286379512,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.15000000000000002,0.22791748206757934,0.3737330581545768,0.052785923753665705,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.16,0.2381804498012809,0.3754956047229128,0.05673758865248228,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.17,0.24797544541385919,0.37703153972414194,0.060750446694461,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.18000000000000002,0.25731795421281034,0.3783658863787324,0.06482593037214888,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.19,0.26622220294190513,0.3795196500025366,0.06896551724137932,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.2,0.27470130018937616,0.3805106105923693,0.07317073170731708,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.21000000000000002,0.28276735645483286,0.3813539293996809,0.07744314689612786,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.22,0.2904315874229806,0.382062619477055,0.08178438661710039,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.23,0.29770440327411973,0.38264791516144364,0.0861961274203623,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.24000000000000002,0.3045954863073424,0.38311956539251574,0.09068010075566753,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.25,0.31111385872084063,0.38348606888452175,0.09523809523809527,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.26,0.3172679420547565,0.38375486438265494,0.09987195902688863,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.27,0.3230656095335428,0.3839324858491348,0.10458360232408008,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.28,0.32851423233055993,0.38402468999410494,0.10937500000000003,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.29000000000000004,0.3336207206054697,0.3840365617984735,0.11424819435325018,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.3,0.33839156002568704,0.38397260237349545,0.11920529801324506,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.31,0.34283284436974754,0.3838368025314879,0.124248496993988,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.32,0.3469503047175795,0.38363270471128197,0.12938005390835583,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.33,0.35074933565618055,0.3833634553461768,0.13460231135282125,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.34,0.35423501886588415,0.38303184933550244,0.13991769547325109,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.35000000000000003,0.3574121443997157,0.3826403679505319,0.14532871972318345,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.36000000000000004,0.3602852299242885,0.3821912112475802,0.1508379888268157,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.37,0.3628585381537014,0.3816863258582516,0.15644820295983092,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.38,0.36513609267671127,0.3811274288660193,0.1621621621621622,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.39,0.3671216923510114,0.38051602834998177,0.1679827709978464,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.4,0.3688189244160057,0.37985344107354063,0.17391304347826092,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.41000000000000003,0.37023117645627673,0.37914080771229564,0.17995610826627656,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.42000000000000004,0.37136164733153115,0.3783791059475059,0.18611521418020685,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.43,0.3722133571746911,0.3775691616957315,0.1923937360178971,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.44,0.3727891565476253,0.3767116586992353,0.1987951807228916,0.2857658800041181
0.42.0,probability_dependent_information_crossing,theoretical,A,0.7,0.95,0.45,0.3730917348334678,0.37580714666339465,0.20532319391634987,0.2857658800041181
