operating_point_id,source,source_route,review_id,review_title,group_id,test_name,target_label_where_recorded,threshold_where_recorded,study_count,raw_normalized_rows,analysis_rows,zero_cell_study_fraction,orientation,eligibility,primary_atlas,selection_status,estimator_v039,sensitivity_v039,specificity_v039,estimator_v040,sensitivity_v040_v041,specificity_v040_v041,information_bits_5_v040_v041,information_bits_20_v040_v041,information_bits_50_v040_v041,fraction_entropy_removed_5_v040_v041,fraction_entropy_removed_20_v040_v041,fraction_entropy_removed_50_v040_v041,estimator_v041,estimator_v042,inclusion_status_v039,inclusion_status_v040,inclusion_status_v041,inclusion_status_v042,status_change_reason_v042,target_label_status,threshold_status,zero_cell_burden_definition,value_change_reason_v039,value_change_reason_v040,value_change_reason_v041,transition_reason_v039_to_v040,transition_reason_v040_to_v041,primary_status_v039,primary_status_v040,primary_status_v041,information_bits_5_v042,information_bits_20_v042,information_bits_50_v042,fraction_entropy_removed_5_v042,fraction_entropy_removed_20_v042,fraction_entropy_removed_50_v042,sensitivity_v042,specificity_v042,information_bits_5_v039,information_bits_20_v039,information_bits_50_v039,fraction_entropy_removed_5_v039,fraction_entropy_removed_20_v039,fraction_entropy_removed_50_v039,value_change_reason_v042,transition_reason_v041_to_v042,primary_status_v042,analysis_status_v042
Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:1,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:1,Overall,,,50,50,50,0.26,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.6673981961053157,0.868537693952975,regularized direct-binomial local Gaussian approximation,0.7403857182121064,0.8724162286966609,0.0653453185864329,0.2053753555491193,0.2983728945960452,0.2281634527282215,0.2844817330196335,0.2983728945960452,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0508871067745408,0.1601267083526261,0.2311175704948934,0.1776803332234348,0.221804234364379,0.2311175704948934,0.66739819853567,0.8685376940184669,0.0508871063399911,0.1601267069956971,0.2311175684890155,0.177680331706136,0.2218042324847887,0.2311175684890155,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD007394|legacy:CD007394:2,Cochrane DTA Reference Dataset,historical Cochrane,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,legacy:CD007394:2,Children,,,7,7,7,0.4285714285714285,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.4415733090558327,0.9643787357398624,regularized direct-binomial local Gaussian approximation,0.5984029022841222,0.9738131080946388,0.0909643660139491,0.249600834059825,0.321087430256195,0.3176163843707303,0.3457419593827673,0.321087430256195,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0507700286754937,0.1446267323064628,0.1867148196657378,0.1772715366348604,0.2003339852413251,0.1867148196657378,0.4415733163332941,0.9643787328215978,0.0507700292038117,0.1446267328478275,0.1867148193076925,0.1772715384795656,0.2003339859912125,0.1867148193076925,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:12,Cochrane DTA Reference Dataset,historical Cochrane,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:12,Triage of LSIL with HC2; CIN2+ (studies with both tests),,,6,6,6,0.5,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.9400011851900372,0.2833898808334596,regularized direct-binomial local Gaussian approximation,0.9665327713461124,0.2593666833987193,0.0130143604121195,0.0461250719119673,0.0816076066148932,0.045441685355792,0.0638915042074431,0.0816076066148932,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0112333373696987,0.0393802171634322,0.0678316116933503,0.0392229634100148,0.05454866965605,0.0678316116933503,0.940001184931518,0.2833898808539252,0.0112333374011101,0.0393802172766883,0.0678316119034696,0.0392229635196927,0.0545486698129299,0.0678316119034696,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008054|legacy:CD008054:15,Cochrane DTA Reference Dataset,historical Cochrane,CD008054,Human papillomavirus testing versus repeat cytology for triage of minor cytological cervical lesions,legacy:CD008054:15,Triage of LISL with repeat cytology (cut-off ASCUS+) CIN2+,,,6,6,6,0.1666666666666666,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7482542676005548,0.5110184653057559,regularized direct-binomial local Gaussian approximation,0.8290990790478652,0.4624593324761627,0.0129563871206099,0.0443827099211972,0.0725481837385051,0.0452392624945527,0.0614780200902446,0.0725481837385051,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0096202325889211,0.032656600831995,0.0521708071455422,0.0335905544730566,0.0452352541247065,0.0521708071455422,0.7482542687165856,0.5110184633950918,0.0096202326376612,0.0326566009921498,0.0521708073853726,0.0335905546432403,0.0452352543465496,0.0521708073853726,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008081|legacy:CD008081:1,Cochrane DTA Reference Dataset,historical Cochrane,CD008081,Optical coherence tomography (OCT) for detection of macular oedema in patients with diabetic retinopathy,legacy:CD008081:1,OCT for detection of CSMO,,,9,9,9,0.0,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7895550219049955,0.833585858679394,regularized direct-binomial local Gaussian approximation,0.8037683791803611,0.8645252121552054,0.0753941353815668,0.2381095994915109,0.3520826470228689,0.2632504763346396,0.3298245367894452,0.3520826470228689,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0629632075830077,0.2020487850471163,0.3027169625212638,0.2198459376700545,0.2798738357434901,0.3027169625212638,0.7895550197841507,0.8335858546284002,0.0629632091640652,0.2020487897717856,0.3027169691298082,0.2198459431905651,0.279873842288005,0.3027169691298082,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008760|legacy:CD008760:1,Cochrane DTA Reference Dataset,historical Cochrane,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:1,Any varices - All the studies,,,15,15,15,0.4666666666666667,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7927569314371772,0.7770690086741991,regularized direct-binomial local Gaussian approximation,0.8464555301312555,0.8597636917402927,0.0836204144155428,0.2655118113538304,0.396969005163279,0.2919738228283153,0.3677815190102229,0.396969005163279,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0495063981326052,0.1621948636894463,0.2489908590581194,0.1728593719400487,0.2246690007468853,0.2489908590581194,0.7927569356894549,0.7770690128831603,0.0495063964771309,0.1621948584362261,0.2489908511527345,0.1728593661596997,0.2246689934702324,0.2489908511527345,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008760|legacy:CD008760:3,Cochrane DTA Reference Dataset,historical Cochrane,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:3,Any varices - studies at low risk of bias for QUADAS-2 'patient selection' domain,,,7,7,7,0.4285714285714285,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7639403883221687,0.7946200985519484,regularized direct-binomial local Gaussian approximation,0.8081646580752768,0.8530103945556098,0.0714125138299505,0.2273992780523459,0.3387394789450439,0.2493480187397279,0.3149888190565925,0.3387394789450439,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0483817890537883,0.157459567051248,0.2388293382844615,0.1689326225424929,0.2181097649009149,0.2388293382844615,0.7639407614237806,0.7946202823856812,0.0483816842880566,0.1574592337340026,0.2388288344105598,0.1689322567364704,0.2181093031966984,0.2388288344105598,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008760|legacy:CD008760:4,Cochrane DTA Reference Dataset,historical Cochrane,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:4,Any varices - studies at low risk of bias for QUADAS-2 'flow and timing' domain,,,9,9,9,0.5555555555555556,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.8050099696347706,0.7633683246264629,regularized direct-binomial local Gaussian approximation,0.8500836735586101,0.7531666447243321,0.0546559028239348,0.1808105678051331,0.2831833385457722,0.1908396771192153,0.2504550925301554,0.2831833385457722,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0487586607223628,0.1604682841828952,0.2481547279710227,0.170248529221005,0.2222773782033404,0.2481547279710227,0.8050099677835125,0.7633683195274604,0.0487586621056471,0.1604682885278791,0.2481547343677044,0.1702485340509597,0.222277384221923,0.2481547343677044,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008760|legacy:CD008760:5,Cochrane DTA Reference Dataset,historical Cochrane,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:5,Any varices - only full-text studies,,,11,11,11,0.4545454545454545,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7917710682847964,0.799730747963261,regularized direct-binomial local Gaussian approximation,0.8377911718166398,0.8755753854393719,0.0872944082347645,0.2748362213989146,0.4065695760666653,0.3048021498336687,0.3806975006864022,0.4065695760666653,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0544927135421868,0.1772294128826388,0.2696792899562112,0.1902698760871397,0.2454945501328504,0.2696792899562112,0.7917710691707569,0.7997307461881756,0.0544927138063283,0.1772294136257688,0.2696792908450001,0.1902698770094311,0.245494551162219,0.2696792908450001,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
Cochrane DTA Reference Dataset|CD008760|legacy:CD008760:6,Cochrane DTA Reference Dataset,historical Cochrane,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,legacy:CD008760:6,Large varices - all the studies,,,6,6,6,0.0,source-defined direction,eligible,True,,continuity-corrected bivariate REML,0.7080156903781483,0.8850436672974196,regularized direct-binomial local Gaussian approximation,0.7749533162673126,0.899467509218786,0.0827312950094145,0.2550552605213912,0.366305832929146,0.288869322644089,0.3532973191203838,0.366305832929146,display derivation from v0.40.0; no refit,continuity-corrected bivariate REML,primary reference sample,primary reference sample; unchanged,display derivation from v0.40.0; no refit,primary reference sample; canonical REML regenerated,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,no separate target-label field in locked normalized data,no separate threshold field in locked metadata,fraction of canonical study rows with any zero among TP FP FN TN,historical continuity-corrected bivariate REML baseline release,regularized direct-binomial GH15 refit replaced historical REML central values,display derivation from v0.40.0; no refit and no operating-point value change,fixed sample retained; estimator changed from continuity-corrected REML to regularized direct-binomial GH15,fixed sample and values retained; v0.41.0 changed display and narrative architecture only,primary reference sample,primary reference sample,primary reference sample,0.0636677614574997,0.1981760270670067,0.2842953066957367,0.222305998285177,0.2745093707676341,0.2842953066957367,0.7080157156270919,0.8850436789520274,0.0636677523968158,0.1981760004856179,0.2842952698946738,0.2223059666483749,0.2745093339476392,0.2842952698946738,canonical REML regenerated from the same rows as historical REML; v0.41.0 direct-binomial display values replaced,fixed sample retained; canonical hierarchy returned to regenerated REML while validation and manuscript architecture remain new,primary reference sample,complete canonical Phase 3 derivation
