source,source_version,review_id,review_title,doi,source_file,source_sha256,included_study_records,test_groups,stored_study_test_rows,reported_findings,model_candidates,primary_candidates
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008892,Rapid diagnostic tests for typhoid and paratyphoid (enteric) fever,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,37,30,154,5,11,4
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011515,Diagnostic accuracy of different imaging modalities following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,2,1,2,1,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010680,Ankle brachial index for the diagnosis of lower limb peripheral arterial disease,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,1,0,0,2,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010705,GenoType,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,27,99,326,3,22,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010864,D-dimer test for excluding the diagnosis of pulmonary embolism,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,4,0,0,9,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012281,Combination of the non-invasive tests for the diagnosis of endometriosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,27,27,27,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009323,Diagnostic accuracy of laparoscopy following computed tomography (CT) scanning for assessing the resectability with curative intent in pancreatic and periampullary cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,16,2,23,1,2,1
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010657,Dimercaptosuccinic acid scan or ultrasound in screening for vesicoureteral reflux among children with urinary tract infections,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,42,8,75,4,5,4
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010502,Rapid antigen detection test for group A streptococcus in children with pharyngitis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,116,47,341,3,8,1
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011420,Lateral flow urine lipoarabinomannan assay for detecting active tuberculosis in HIV-positive adults,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,12,42,147,2,8,1
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012179,Blood biomarkers for the non-invasive diagnosis of endometriosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,141,165,207,129,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012165,Endometrial biomarkers for the non-invasive diagnosis of endometriosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,54,33,48,34,2,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010360,Intraoperative frozen section analysis for the diagnosis of early stage ovarian cancer in suspicious pelvic masses,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,38,3,114,3,3,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009591,Imaging modalities for the non-invasive diagnosis of endometriosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,49,43,144,30,11,10
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011145,Mini-Mental State Examination (MMSE) for the detection of dementia in clinically unevaluated people aged 65 and over in community and primary care populations,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,48,20,161,3,12,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD007394,Galactomannan detection for invasive aspergillosis in immunocompromised patients,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,54,2,57,11,2,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD012019,Urinary biomarkers for the non-invasive diagnosis of endometriosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,8,10,10,10,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011134,Blood CEA levels for detecting recurrent colorectal cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,52,4,89,3,4,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011984,Urine tests for Down's syndrome screening,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,19,48,76,24,3,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011975,First trimester serum tests for Down's syndrome screening,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,56,125,279,78,10,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,106,47,1018,28,2,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010775,Montreal Cognitive Assessment for the diagnosis of Alzheimer’s disease and other dementias,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,7,2,7,0,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009551,Polymerase chain reaction blood tests for the diagnosis of invasive aspergillosis in immunocompromised people,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,18,2,33,2,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009263,123I-MIBG scintigraphy and 18F-FDG-PET imaging for diagnosing neuroblastoma,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,0,0,11,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011021,Voxel-based morphometry for separation of schizophrenia from other types of psychosis in first episode psychosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,4,0,0,0,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010896,Regional Cerebral Blood Flow Single Photon Emission Computed Tomography for detection of Frontotemporal dementia in people with suspected dementia,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,4,16,0,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010023,Computed tomography versus magnetic resonance imaging versus bone scintigraphy for clinically suspected scaphoid fractures in patients with negative plain radiographs,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,3,15,3,2,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010276,Diagnostic tests for oral cancer and potentially malignant disorders in patients presenting with clinically evident lesions,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,42,5,44,3,3,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009647,"Clinical symptoms, signs and tests for identification of impending and current water-loss dehydration in older people",,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,24,154,322,0,4,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009579,Circulating antigen tests and urine reagent strips for diagnosis of active schistosomiasis in endemic areas,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,104,17,180,5,8,4
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010772,Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) for the diagnosis of dementia within a secondary care setting,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,13,17,87,5,7,2
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010783,Mini-Mental State Examination (MMSE) for the detection of Alzheimer's disease and other dementias in people with mild cognitive impairment (MCI),,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,3,13,3,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010339,Endoscopic retrograde cholangiopancreatography versus intraoperative cholangiography for diagnosis of common bile duct stones,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,10,2,10,10,2,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011548,Ultrasound versus liver function tests for diagnosis of common bile duct stones,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,5,5,9,7,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011549,Endoscopic ultrasound versus magnetic resonance cholangiopancreatography for common bile duct stones,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,18,2,20,10,2,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010438,Thromboelastography (TEG) and rotational thromboelastometry (ROTEM) for trauma-induced coagulopathy in adult trauma patients with bleeding,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,3,3,4,3,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009944,Diagnostic accuracy of endoscopic ultrasonography (EUS) for the preoperative locoregional staging of primary gastric cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,66,4,160,4,4,4
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010860,Mini-Cog for the diagnosis of Alzheimer's disease dementia and other dementias within a community setting,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,3,1,3,0,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010633,Dopamine transporter imaging for the diagnosis of dementia with Lewy bodies,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,1,4,4,4,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010632,¹⁸F-FDG PET scan for early prediction of developing Alzheimer’s disease or other dementia in people with mild cognitive impairment (MCI),,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,16,8,94,1,8,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010653,First rank symptoms for schizophrenia,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,21,3,43,3,3,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010542,Transient elastography for diagnosis of stages of hepatic fibrosis and cirrhosis in people with alcoholic liver disease,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,14,7,53,3,6,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009185,"Procalcitonin, C-reactive protein, and erythrocyte sedimentation rate for the diagnosis of acute pyelonephritis in children",,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,24,6,50,3,5,3
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008081,Optical coherence tomography (OCT) for detection of macular oedema in patients with diabetic retinopathy,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,10,2,12,2,1,1
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD011431,Rapid diagnostic tests for diagnosing uncomplicated non-falciparum or ,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,47,34,126,5,8,5
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009519,PET-CT for assessing mediastinal lymph node involvement in patients with suspected resectable non-small cell lung cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,45,1,45,3,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008760,Capsule endoscopy for the diagnosis of oesophageal varices in people with chronic liver disease or portal vein thrombosis,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,16,7,53,8,5,5
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009372,Computed tomography angiography or magnetic resonance angiography for detection of intracranial vascular malformations in patients with intracerebral haemorrhage,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,2,11,2,1,1
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010386,11C-PIB-PET scan for early prediction of developing Alzheimer’s disease or other dementia in people with mild cognitive impairment (MCI),,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,9,2,13,3,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010771,Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) for the diagnosis of dementia within a general practice (primary care) setting,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,1,6,6,6,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010409,Sentinel node assessment for diagnosis of groin lymph node involvement in vulval cancer,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,34,12,125,4,9,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD009135,Rapid tests for the diagnosis of visceral leishmaniasis in patients with suspected disease,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,30,6,55,3,2,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008782,Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI),,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,17,6,25,3,1,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD008998,Rapid diagnostic tests versus clinical diagnosis for managing people with fever in malaria endemic settings,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,7,0,0,4,0,0
Cochrane DTA Reference Dataset,CL145_open_set_20181101,CD010079,Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE) for the diagnosis of dementia within community dwelling populations,,CL145_open_set_20181101.zip,f921cf6f1a9236c86f89e7c646497639f45e8ff8fcf56008c1b27422829fec4f,11,16,53,5,4,2
