doi,title,description,subjects,publisher,publication_year,resource_type,resource_type_general,license,license_url,source_url,source,source_id,matched_queries,file_probe_selected,in_fixed_osf_inventory,access_status,public_file_count
10.17605/osf.io/23ema,"Failure of Tooth Eruption: A Systematic Review and Meta-Analysis of Pathogenesis, Genetic Basis, Diagnostic Accuracy, and Treatment Outcomes","This systematic review and meta-analysis aims to synthesize the available evidence on failure of tooth eruption, encompassing mechanical impaction, primary failure of eruption (PFE), and eruption disturbances associated with systemic conditions.",Medical Sciences | Medical Genetics | Medicine and Health Sciences | Orthodontics and Orthodontology | Pediatric Dentistry and Pedodontics | Dentistry | FOS: Clinical medicine | Tags systematic-review meta-analysis tooth-eruption orthodontics dentistry PTH1R primary-failure-of-eruption PFE genetic-testing RUNX2 KMT2A WDR37 LRP5 LRP6 FGFR tooth-impaction dental-impaction impacted-canine canine-impaction supernumerary-teeth mesiodens odontoma cleidocranial-dysplasia gardner-syndrome osteopetrosis diagnostic-accuracy sensitivity specificity CBCT panoramic-radiography radiography clinical-diagnosis surgical-exposure open-exposure closed-exposure orthodontic-treatment orthodontic-traction prosthodontics dental-implants frenectomy evidence-based-dentistry GRADE risk-of-bias PRISMA protocol preregistration pediatric-dentistry adult-orthodontics rare-diseases,OSF Registries,2026,Pre-registration,Project,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/23ema/,OSF,23ema,"""diagnostic accuracy"" | sensitivity specificity meta-analysis",True,False,files_enumerated,1
10.17605/osf.io/245wj,"Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts","This project contains all data, materials, and analysis scripts for the research study: ""Laboratory Capacity, Diagnostic Performance, and Operational Barriers in Conflict-Affected Yemen: A Cross-Sectional Study from Al-Dhalea and Radfan Districts.""

Study Overview

A comprehensive cross-sectional assessment of diagnostic laboratory services in two conflict-affected districts of Yemen (Al-Dhalea and Radfan), conducted from July to December 2025. The study evaluated 20 laboratories, interviewed 60 laboratory personnel, and analyzed 700 patient samples to assess operational capacity, diagnostic accuracy (malaria RDTs and CBC), and identify barriers to reliable service delivery.

Key Findings

· Malaria RDTs demonstrated high accuracy (sensitivity: 95.4%, specificity: 94.5%)
· Significant operational barriers: reagent stockouts (40% of labs), intermittent electricity (30%), staff training gaps (45% untrained)
· Mean turnaround time: 2.1 days, with only 26.7% of results reported within 24 hours
· Overall error rate: 5.0%, primarily from RDT-microscopy discordance",,OSF,2026,Project,Text,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/245wj/,OSF,245wj,"""diagnostic accuracy""",True,False,files_enumerated,7
10.17605/osf.io/2bajy,Diagnostic accuracy of colorectal polyp diagnosis using computer-aided diagnosis in comparison with colonoscopist: A systematic review and meta-analysis (protocol),,,OSF,2024,Project,Text,,,https://osf.io/2bajy/,OSF,2bajy,"""diagnostic accuracy""",True,True,files_enumerated,1
10.17605/osf.io/2d3za,Diagnostic Accuracy of Upper Limb Neurodynamic Tests in Neuropathic Pain: A Systematic Review and Meta-analysis.,We decided to performed a diagnostic accuracy systematic review with meta-analysis of Upper-limb neurodynamic test in patients with neutopathic pain.,,OSF,2023,Project,JournalArticle,,,https://osf.io/2d3za/,OSF,2d3za,"""diagnostic accuracy""",True,True,files_enumerated,0
10.17605/osf.io/2qa9p,Serum placental growth factor (PlGF) for the prediction of early-onset pre-eclampsia in the first trimester of pregnancy: a systematic review,"Pre-eclampsia remains a leading cause of maternal and perinatal mortality worldwide, with 99% of deaths occurring in low- and middle-income countries. The standard first-trimester screening model, combining maternal characteristics with mean arterial pressure (MC + MAP), detects fewer than half of cases destined to develop early-onset pre-eclampsia at a 10% false-positive rate. This systematic review evaluated the incremental diagnostic accuracy of adding serum placental growth factor (PlGF) to the MC + MAP model for the prediction of early-onset pre-eclampsia in the first trimester of pregnancy.",Medicine and Health Sciences,OSF Registries,2026,Pre-registration,Project,Academic Free License (AFL) 3.0,http://opensource.org/licenses/AFL-3.0,https://osf.io/2qa9p/,OSF,2qa9p,"""diagnostic accuracy""",True,False,files_enumerated,1
10.17605/osf.io/2r8wb,"RELIABILITY, APPLICABILITY AND EXPANSION OF ACCESS TO DIAGNOSIS THROUGH TELECONSULTATION IN STOMATOLOGY: a scoping review","Teledentistry comprises several modalities of remote dental care, notably teleconsultation—defined as the exchange of clinical information among healthcare professionals—and telediagnosis, which involves issuing diagnostic reports. However, the impact of teleconsultation on the early diagnosis of oral lesions remains uncertain. This study aims to synthesize the available evidence and provide a comprehensive overview of the reliability, applicability, and potential to expand access to the diagnosis of oral lesions, including malignant and potentially malignant disorders, through teleconsultation in oral medicine. A systematic search was conducted in MEDLINE/PubMed, Cochrane Library, EMBASE, LILACS, and gray literature up to January 2025, with no language restrictions. Methodological quality and risk of bias were assessed using specific tools: Newcastle-Ottawa (cohort studies), JBI (cross-sectional studies), QUADAS-2 (diagnostic accuracy studies), and GRADE (certainty of evidence). A narrative synthesis was performed. A total of 25 observational studies (cross-sectional, cohort, and diagnostic accuracy) were included, involving 8,746 patients assessed via teleconsultation, although not all studies reported the exact number of participants. Among the evaluated cases, 612 were confirmed as malignant. Diagnostic agreement between general practitioners and specialists ranged from 60% to 100%, being higher in studies with standardized protocols, prior training, or those conducted by specialists. Remote diagnostic accuracy reached up to 97% compared to the gold standard. Overall satisfaction with the service was high (96.5%), and 75% of patients reported the procedure as comfortable. Some studies demonstrated that teleconsultation contributes to expanding access to diagnosis in oral medicine, as reflected in an increase in referrals. Despite promising findings, the high methodological heterogeneity (&gt;85%) among studies precluded a robust meta-analysis and limited the generalizability of results.",Potentially malignant lesions | Remote consultation | teleconsultation | teledentistry,OSF,2025,Project,Text,,,https://osf.io/2r8wb/,OSF,2r8wb,"""diagnostic accuracy""",True,False,files_enumerated,0
10.17605/osf.io/2t7bk,Application of Focused Assessment with Sonography for Trauma (FAST) in Resource-Limited Areas: A Scoping Review,"Trauma ranks among the leading causes of death and disability worldwide. According to World Health Organization (WHO) data, 4.4 million people die annually from injuries resulting from accidents or violence. This burden is particularly pronounced among individuals aged 15 to 44, with low- and middle-income countries (LMICs) bearing the primary impact—accounting for over 90% of these global trauma-related deaths. In these resource-constrained regions, relatively weak infrastructure, scarce medical resources, and inadequate emergency response systems compound frequent trauma incidents. Costs associated with readmissions, surgical interventions, and mortality rates rise significantly, placing immense pressure on medical resources and overwhelming healthcare systems. Patients often fail to receive timely diagnosis and treatment due to lack of imaging examinations and sufficient medical resources, posing severe challenges to trauma management. Currently, routine trauma imaging examinations commonly include computed tomography (CT) and ultrasound imaging. Although CT offers high sensitivity and specificity in trauma detection and diagnosis, concerns persist regarding its high cost and radiation exposure. Furthermore, the inability to move critically ill patients limits CT application in resource-constrained settings [1]. Ultrasound examinations can be performed at the bedside, but conventional ultrasound imaging is time-consuming. Compared to CT and conventional ultrasound, Focused Assessment with Sonography for Trauma (FAST) is the current primary diagnostic tool for trauma patients. First proposed by Rozychi et al. and widely recognized at an international conference in 1996, FAST is a bedside ultrasound method for rapidly assessing visceral hemorrhage in trauma patients. Its application has since expanded to include acute abdominal conditions such as abdominal aortic aneurysms and gallbladder stones. The FAST examination typically covers the subxiphoid region, right upper quadrant, left upper quadrant, and pelvis. It examines the hepatic-renal and splenic-renal spaces, the rectovesical pouch (uterovesical pouch), and the pericardial cavity for free fluid, determining the presence of hemorrhage in the abdominal cavity, pelvic cavity, and pericardial cavity. As a simple, low-cost, non-invasive imaging modality, FAST is particularly well-suited for resource-limited settings, especially those lacking advanced imaging equipment. It has become an indispensable alternative for managing trauma patients, effectively enhancing the timeliness and efficacy of trauma care. However, despite FAST's significant potential in resource-limited settings, current research predominantly focuses on trauma populations outside these regions and is often limited to single-center studies with small sample sizes. Therefore, this study systematically reviews the literature on FAST application in trauma care within resource-limited settings. The aim is to provide evidence-based guidance for trauma care practices and personnel training in such regions, while analyzing implementation barriers and strategies for adaptive improvements.",Emergency Medicine | Educational Administration and Supervision | Medicine and Health Sciences | Education | Medical Specialties | Adult and Continuing Education Administration | Trauma | Focused Assessment with Sonography for Trauma | LMIC | Resource-Limited | Ultrasound | trauma,OSF,2025,Project,Text,No license,,https://osf.io/2t7bk/,OSF,2t7bk,"""sensitivity and specificity""",True,False,files_enumerated,0
10.17605/osf.io/2wyht,Eye Tracking during Visual Paired-Comparison Tasks for Detecting Cognitive Decline,"To provide a more comprehensive understanding of the capability of this assessment tool, the present systematic review and meta-analyses aim to evaluate the effectiveness and usefulness of paired visual comparisons based on eye tracking movement as a tool for assessing memory deficits in individuals with age-related cognitive changes.

2 Methods
2.1 Study protocol
This systematic review followed the “Preferred Reporting Items for Systematic Reviews and Meta-Analysis” (PRISMA) guidelines (see the PRISMA checklist).18 A predefined protocol was developed and is available upon request from the corresponding author. The inclusion criterion for this systematic review was the participation of impaired memory participants and/or healthy participants, with a focus on evaluating recognition memory using VPC with ETM. Key outcomes are novelty preference scores, percent looking time at novel images, total looking time, and total fixations. Both observational and experimental studies will be considered.
2.2 Eligibility criteria
Studies including participants classified as healthy and with impaired memory, where their memory was assessed based on the VPC task, which has been published or accepted for publication in peer-reviewed journals and written in any language, were considered. No restrictions were applied in terms of study design, setting, country, or time frame. Descriptive or review articles, conference proceedings, and articles for which the full text was unavailable were excluded. Only studies that included assessments of novelty preference scores based on the VPC task were included.
2.3 Search strategy
Six electronic databases, namely, PubMed/MEDLINE, Web of Science, Scopus, SportDiscuss, ProQuest, and the OpenGrey, were searched from inception to November 2023, without applying any time limits or filters. The research strategy employed appropriate Boolean operators (AND, OR, and NOT) to combine the relevant keywords. Additionally, field tags, wild-card options (such as truncated words), and Medical Subject Headings (MeSH) terms were used where applicable. Additionally, to minimize the risk of missing relevant publications, the reference lists of the included manuscripts and related citations from other journals identified via Google Scholar were reviewed. Furthermore, a search of personal files was also performed. The full research strategy and keywords used are presented in Table S1.
2.4 Selection process
The process used for selecting articles is outlined in Figure 1. EndNote software (version 20) was used to remove duplicate articles recorded in the initial search results. Titles and abstracts of all unique hits were screened by the first two authors (MAB and KT) for eligibility, and disagreements were resolved by consensus. The full texts of the selected studies were subsequently screened for eligibility, and disagreements were resolved by consensus. The reasons for excluding an article during the abstract and full-text screening were recorded.
2.5 Data extraction
Using a pilot-tested extraction form, the two first authors (MAB and KT) independently collected the data and resolved disagreements by consensus. The extracted data included participant characteristics (number of participants, age, educational level), study characteristics (country, methodology), and key outcomes, and the results are presented in Table 1.
2.6 Quality assessment
Two examiners independently assessed the methodological quality of the studies using the Quality Assessment of Diagnostic Accuracy Studies (QUADAS-2) tool.19 The tool evaluates the methodological quality of diagnostic accuracy studies in four domains: patient selection, index test, reference standard, and flow and timing. It assesses bias within each domain and examines the applicability of findings in the first three domains. Independent evaluators assigned assessments of ""low"", ""high"", or ""unclear"" risk of bias to each guiding question within the domains.
2.7 Statistical analysis
The random-effects model was constructed using the restricted maximum likelihood estimation with the Hartung-Knapp-Sidik-Jonkman (HKSJ) method20 to determine the effect size of the VPC and its pooled sensitivity and specificity. Three studies were considered the minimum number of studies needed to be included in the meta-analysis. The standardized mean difference (SMD) and 95% confidence intervals (CIs) were calculated to investigate whether differential effects existed between the nap and control groups/interventions for declarative memory across all studies. The SMD (Hedges’ g) was used to measure effect size and was considered small at g &lt; 0.5, moderate at 0.5 &lt; g &lt; 0.8, and large at g &gt; 0.8.21 Forest plots were generated to illustrate point estimates of Hedges’ g and 95% CIs. The between-study variance tau-square (Tau2) test was used for heterogeneity, and the I2 statistic was used to assess the heterogeneity among studies; I2 statistics were considered low at I2 &lt; 50%, moderate at 50%&lt; I2 &lt; 75%, and high at I2 &gt; 75%.22 The 95% prediction interval for the true outcomes was calculated.23 As indicated by Rothstein et al.,24 funnel plots of potential asymmetries were constructed, and Begg and Mazumdar’s rank correlation test,25 Egger’s linear regression test,26 and Duval and Tweedie’s trim and fill method27 were used to identify publication bias. Outliers were assessed using the “dmeta” package (version 0.0.9000);28 after all outliers were retrieved, a second random effects meta-analysis was performed. The stability of each study’s pooled SMD was assessed via leave-one-out sensitivity analyses involving the removal of individual studies from the analysis and computing the excluded study’s impact on the overall effect estimate. The statistical significance level was set at p &lt; 0.05 for all analyses. This meta-analysis was conducted using the R programming language (version 4.2.3)29, 30 with the “metafor” package (version 3.8.1).31",,OSF,2023,Project,Text,,,https://osf.io/2wyht/,OSF,2wyht,"""diagnostic accuracy"" | ""sensitivity and specificity"" | sensitivity specificity meta-analysis",True,True,files_enumerated,0
10.17605/osf.io/36579,Automated Speech Analysis as a Digital Biomarker for Cognitive Impairment: From Biological Validation to Prognostic Prediction – A Systematic Review.,We aim to systematically review the diagnostic accuracy of automated speech markers (acoustic and Natural Language Processing) validated against biological pathology (amyloid/tau) and their longitudinal prognostic value in predicting clinical progression to dementia in patients with Mild Cognitive Impairment (MCI) or prodromal Alzheimer’s disease.,Medicine and Health Sciences | Medical Specialties | Neurology,OSF,2026,Project,Text,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/36579/,OSF,36579,"""diagnostic accuracy""",True,False,files_enumerated,0
10.17605/osf.io/3ch9e,MRD/PET-CT Concordance and Prognostic Value in Multiple Myeloma: Systematic Study-Level Analysis,"Objectives
- Quantify agreement between MRD and PET-CT at the same timepoint using κ statistics.
Evaluate the prognostic significance of dual negativity vs other categories (MRD−/PET+, MRD+/PET−, MRD+/PET+). 
- Explore heterogeneity by risk of bias, detection method, and study design.

Eligibility Criteria
- Population: Adults with multiple myeloma after therapy assessment.
- Interventions/exposures: MRD (flow or NGS, any sensitivity) and PET-CT performed within ±30 days.
- Outcomes: Concordance (2×2 tables) and time-to-event (PFS/OS) per dual-negativity status.
- Study types: Prospective or retrospective studies with ≥10 paired patients.
- Time frame: January 1, 2015 – June 30, 2025. The original systematic search covered publications up to April 30, 2025; two additional eligible studies published in May–July 2025 were identified through manual surveillance of recent issues and conference proceedings before database lock.
- Exclusions: Reviews, abstracts without extractable data, and studies with non-overlapping timepoints.

Information Sources and Search Strategy
PubMed and Cochrane CENTRAL: (Multiple Myeloma""[MeSH Terms] OR ""multiple myeloma""[All Fields]) AND (""Neoplasm, Residual""[MeSH Terms] OR ""residual disease""[All Fields] OR MRD[All Fields]) AND (""Positron-Emission Tomography""[MeSH Terms] OR ""PET""[All Fields] OR ""PET-CT""[All Fields] OR ""FDG-PET""[All Fields]). Manual addition of cited or related studies. Full strings included in Supplement Material.

Data Extraction and Items
Extract: study ID, n, MRD method, imaging modality/criteria, 2x2 concordance data, HRs or KM curves, follow-up, ASCT status, risk of bias. Two reviewers independently cross-checked entries.

Risk of Bias Assessment
Concordance outcomes: QUADAS-2
Prognostic outcomes: QUIPS
Each domain judged Low / High / Unclear; disagreements resolved by consensus.

Statistical Analysis Plan
Agreement metrics: observed proportion, Cohen’s κ (and AC1 sensitivity).
Random-effects pooling (REML + Hartung-Knapp), report τ², I², 95 % PI.
Directional discordance model (MRD-/PET+ vs MRD+/PET-).
Prognosis: log-HR pooling for dual-negativity; include reconstructed HRs if needed.

Sensitivity analyses:
Exclude high-risk or misaligned studies.
Alternative continuity corrections.
Subgroup/meta-regression by MRD method or imaging criteria.
Publication bias: Egger’s test, contour funnel plots.

All code executed in R (4.4+) with meta/metafor; scripts deposited in Github.

Deviations from PROSPERO Policy
Because initial data extraction had begun before we learned of PROSPERO’s requirement for prospective registration, this project is retrospectively registered on OSF instead.

Data Availability
Screening logs, extraction sheets, and analytic code are uploaded as read-only CSV/R files; patient-level data are not included.

Funding and Conflict of Interest
None",Medicine and Health Sciences | Multiple myeloma; minimal residual disease; PET/CT; concordance analysis; prognostic value; meta-analysis; diagnostic accuracy; Hartung–Knapp random effects.,OSF Registries,2025,Pre-registration,StudyRegistration,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode,https://osf.io/3ch9e/,OSF,3ch9e,"""2x2"" diagnostic | ""diagnostic accuracy""",True,False,files_enumerated,2
