doi,title,description,subjects,publisher,publication_year,resource_type,resource_type_general,license,license_url,source_url,source,source_id,diagnostic_candidate,access_status
10.26300/dewm-ys91,Psychological and Pharmacological Treatments for Adults With Posttraumatic Stress Disorder (PTSD): A Systematic Review Update,,,Systematic Review Data Repository,2018,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/published,SRDR+,,False,not_probed
10.26300/vpw5-5m26,Diet and Physical Activity for Prevention of Diabetes: Evidence Map,,,Systematic Review Data Repository,2016,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/100,SRDR+,100,False,not_probed
10.26300/5xpm-0852,Medical Therapies for Children with Autism Spectrum Disorder—An Update,,,Systematic Review Data Repository,2017,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1003,SRDR+,1003,False,not_probed
10.26300/xc3w-8c19,Interventions Targeting Sensory Challenges in Children with Autism Spectrum Disorder (ASD)—An Update,,,Systematic Review Data Repository,2017,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1004,SRDR+,1004,False,not_probed
10.26300/gwtf-aq60,"Diet-Related Fibers and Human Health Outcomes, Version 3.0 (Retired)",,,Systematic Review Data Repository,2017,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1036,SRDR+,1036,False,not_probed
10.26300/a0td-3235,"Interventions to Prevent Age-Related Cognitive Decline, Mild Cognitive Impairment, and Clinical Alzheimer’s-Type Dementia [Entered Retrospectively]",,,Systematic Review Data Repository,2017,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1040,SRDR+,1040,False,not_probed
10.26300/5mvb-dv55,"Diet-Related Fibers and Human Health Outcomes, Version 3.1 (Retired)",,,Systematic Review Data Repository,2018,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1050,SRDR+,1050,False,not_probed
10.26300/ykks-2j61,Assessing the reliability of Cornea SRs,,,Systematic Review Data Repository,2019,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1052,SRDR+,1052,False,not_probed
10.26300/twxt-1015,Assessment Tools for Palliative Care,,,Systematic Review Data Repository,2017,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1061,SRDR+,1061,False,not_probed
10.26300/3m27-ca70,"Systematic review of the adverse bone and calcium balance effects of caffeine consumption in healthy adults, pregnant women, adolescents, and children",,,Systematic Review Data Repository,2015,Dataset,Dataset,,,https://srdr.ahrq.gov/projects/1062,SRDR+,1062,False,not_probed
