rank,pmcid,pmid,doi,year,title,pmc_url,license,license_url,source_sha256,table_count,candidate_table_count
1,PMC12790414,41523425,10.7759/cureus.98982,2025,Evaluating the Role of Urinary Amylase in Diagnosing Acute Pancreatitis: A Systematic Review and Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12790414/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,e3e75d7ae59006cad85aa6a56848e26462188029eef3e231d96609b706f15bc5,4,3
2,PMC8235728,34202994,10.3390/diagnostics11061124,2021,International HIV Dementia Scale for HIV-Associated Neurocognitive Disorders: A Systematic Review and Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC8235728/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,b306bf059edc114fc3d072dc28fbe61db676ccdc4cde6c64288debd8cde0d15c,9,8
3,PMC13402129,42516406,10.3389/fneur.2026.1845916,2026,Diagnostic accuracy of blast-induced traumatic brain injury: a systematic review and meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC13402129/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,7d886bc76003cca8ffe45fbd9905a71f3285153d7162aa2239413114e817a22a,3,3
4,PMC7749114,33339871,10.1038/s41598-020-79237-7,2020,The diagnostic accuracy of isothermal nucleic acid point-of-care tests for human coronaviruses: A systematic review and meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7749114/,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,97e3c084c2e73b06f72434066101406af2acaf7dab0f88dc26b42d59e8b1e357,1,1
5,PMC12590577,41193403,10.1002/alz.70828,2025,Blood‐based biomarkers for detecting Alzheimer's disease pathology in cognitively impaired individuals within specialized care settings: A systematic review and meta‐analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12590577/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,9f2aa662abd0948aa2d9c51b7aad27ac8a19fb1b502c277e8ac7c4c61bce1e0a,1,1
6,PMC7602716,33076557,10.3390/ijerph17207515,2020,Diagnostic Test Accuracy of the 4AT for Delirium Detection: A Systematic Review and Meta-Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7602716/,CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,efbb45465fe3efa6ac0bde0af2b2eb738cd611deb670fb9e963e32d463c7292e,4,3
7,PMC11495466,39205556,10.31557/APJCP.2024.25.8.2593,2024,Diagnostic Accuracy of Artificial Intelligence Compared to Biopsy in Detecting Early Oral Squamous Cell Carcinoma: A Systematic Review and Meta Analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC11495466/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,d54fc3aacba89b502f3c116ef82eca6272f889dde73788898e8a0ae1cd3f2c29,2,1
8,PMC10849117,38328498,10.1093/ofid/ofae020,2024,Diagnostic Accuracy of Computer-Aided Detection During Active Case Finding for Pulmonary Tuberculosis in Africa: A Systematic Review and Meta-analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10849117/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,90bae04e22855024a7e144951140d308c812841eaeea1592e9650345ecfbcdbd,2,2
9,PMC11283726,39069608,10.1186/s12885-024-12674-z,2024,Diagnostic accuracy of ESR1 mutation detection by cell-free DNA in breast cancer: a systematic review and meta-analysis of diagnostic test accuracy,https://pmc.ncbi.nlm.nih.gov/articles/PMC11283726/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,38b6f7249acab30fba9c078c6ee582c0f3bfa870ccb4b1d2c181ecbed0a20aed,3,3
10,PMC13242039,42254332,10.1016/j.jcot.2026.103469,2026,Diagnostic accuracy of the Hoffmann-Tinel sign for carpal tunnel syndrome: A systematic review and meta-analysis with comparison of techniques,https://pmc.ncbi.nlm.nih.gov/articles/PMC13242039/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,f2ca8e0dc4f732e97d163e6c788909e37f6b67d642b1ea0481216450a54d4386,0,0
11,PMC11795686,39911616,10.1016/j.ijcha.2024.101528,2024,Evaluating machine learning accuracy in detecting significant coronary stenosis using CCTA-derived fractional flow reserve: Meta-analysis and systematic review,https://pmc.ncbi.nlm.nih.gov/articles/PMC11795686/,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,be9df78cec5b636f51adc25324c14b5e7f33d8d9195351c5f69fa2f96cb1037d,1,1
12,PMC10646761,38025834,10.3892/br.2023.1685,2023,Diagnostic accuracy of optic nerve sheath diameter on ultrasound for the detection of increased intracranial pressure in patients with traumatic brain injury: A systematic review and meta‑analysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC10646761/,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,7303436b28ed5b5c198406dd7e981fbe8ef90485b08a9c9fb46832a78d09a547,2,1
