source,review_id,group_id,source_url,source_license,source_license_url
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:1,,,
Cochrane DTA Reference Dataset,CD007394,legacy:CD007394:2,,,
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,,,
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,,,
Cochrane DTA Reference Dataset,CD008081,legacy:CD008081:1,,,
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:1,,,
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:3,,,
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:4,,,
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:5,,,
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:6,,,
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:10,,,
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:13,,,
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:19,,,
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:5,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:4,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:5,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:6,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:7,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:8,,,
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:9,,,
Cochrane DTA Reference Dataset,CD009185,legacy:CD009185:1,,,
Cochrane DTA Reference Dataset,CD009185,legacy:CD009185:2,,,
Cochrane DTA Reference Dataset,CD009185,legacy:CD009185:3,,,
Cochrane DTA Reference Dataset,CD009323,legacy:CD009323:1,,,
Cochrane DTA Reference Dataset,CD009372,legacy:CD009372:1,,,
Cochrane DTA Reference Dataset,CD009579,legacy:CD009579:1,,,
Cochrane DTA Reference Dataset,CD009579,legacy:CD009579:3,,,
Cochrane DTA Reference Dataset,CD009579,legacy:CD009579:4,,,
Cochrane DTA Reference Dataset,CD009579,legacy:CD009579:5,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:1,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:10,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:12,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:2,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:21,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:33,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:36,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:6,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:7,,,
Cochrane DTA Reference Dataset,CD009591,legacy:CD009591:9,,,
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:1,,,
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:2,,,
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:3,,,
Cochrane DTA Reference Dataset,CD009944,legacy:CD009944:4,,,
Cochrane DTA Reference Dataset,CD010023,legacy:CD010023:2,,,
Cochrane DTA Reference Dataset,CD010023,legacy:CD010023:3,,,
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:3,,,
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:4,,,
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:1,,,
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:2,,,
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:3,,,
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:1,,,
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:2,,,
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:3,,,
Cochrane DTA Reference Dataset,CD010502,legacy:CD010502:2,,,
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:2,,,
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:4,,,
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:7,,,
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:1,,,
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:2,,,
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:3,,,
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:1,,,
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:2,,,
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:5,,,
Cochrane DTA Reference Dataset,CD010657,legacy:CD010657:6,,,
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:24,,,
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:37,,,
Cochrane DTA Reference Dataset,CD010705,legacy:CD010705:56,,,
Cochrane DTA Reference Dataset,CD010772,legacy:CD010772:1,,,
Cochrane DTA Reference Dataset,CD010772,legacy:CD010772:7,,,
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:2,,,
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:3,,,
Cochrane DTA Reference Dataset,CD011134,legacy:CD011134:4,,,
Cochrane DTA Reference Dataset,CD011420,legacy:CD011420:2,,,
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:12,,,
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:16,,,
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:22,,,
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:29,,,
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:6,,,
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:37,,,
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:39,,,
Cochrane DTA Reference Dataset,CD011975,legacy:CD011975:55,,,
Cochrane DTA Reference Dataset,CD012165,legacy:CD012165:12,,,
Cochrane DTA Reference Dataset,CD012165,legacy:CD012165:26,,,
Modern Cochrane data package,CD014911,modern:CD014911:1,,,
Modern Cochrane data package,CD014911,modern:CD014911:2,,,
Modern Cochrane data package,CD014911,modern:CD014911:3,,,
Modern Cochrane data package,CD014911,modern:CD014911:4,,,
Modern Cochrane data package,CD015089,modern:CD015089:1,,,
Modern Cochrane data package,CD015089,modern:CD015089:3,,,
Modern Cochrane data package,CD015089,modern:CD015089:5,,,
Modern Cochrane data package,CD015089,modern:CD015089:7,,,
Modern Cochrane data package,CD015089,modern:CD015089:8,,,
OSF,OSF:4ag3v,osf:4ag3v:6467403361c93f13520d5db3:data-extraction:1:overall,https://osf.io/download/q3bsy/,,
OSF,OSF:9kdc2,osf:9kdc2:6a5a976d17e419e789d14549:6a5a976d17e419e789d14549-file-s7-de-identified-dataset-csv:1:overall,https://osf.io/download/6a5a976d17e419e789d14549/,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode
OSF,OSF:agkq5,osf:agkq5:6a4477d97a3bb418825dd6b1:6a4477d97a3bb418825dd6b1-egc-dta-0630-csv:1:overall,https://osf.io/download/6a4477d97a3bb418825dd6b1/,,
OSF,OSF:c82d3,osf:c82d3:643e8e6d1aa445375fa430fc:643e8e6d1aa445375fa430fc-raw-data-for-metadta-csv:1:overall,https://osf.io/download/643e8e6d1aa445375fa430fc/,,
OSF,OSF:ktp7h,osf:ktp7h:6a442f83a77d8f68d5932e47:6a442f83a77d8f68d5932e47-stat6-sft-2x2-dataset-csv:1:overall,https://osf.io/download/6a442f83a77d8f68d5932e47/,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode
OSF,OSF:m9ptk,osf:m9ptk:6a384c9c88243f9242c22cd9:6a384c9c88243f9242c22cd9-mtap-2x2-dataset-locked-csv:1:overall,https://osf.io/download/6a384c9c88243f9242c22cd9/,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode
OSF,OSF:r5x76,osf:r5x76:699a18c8cbe4d1bc53c50d58:sheet1:1:overall,https://osf.io/download/699a18c8cbe4d1bc53c50d58/,CC-By Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/legalcode
OSF,OSF:vjz63,osf:vjz63:69f2aa35a4d19421ff4bd5f5:cvst-per-study-hu-csv:1:overall,https://osf.io/download/69f2aa35a4d19421ff4bd5f5/,CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode
PMC Open Access,PMC:PMC10021667,pmc open access:PMC10021667:pgph.0000358.t002:table-2-summary-diagnostic-accuracy-data-for-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10021667/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
PMC Open Access,PMC:PMC10039610,pmc open access:PMC10039610:Tab1:table-1-characteristics-of-the-included-studies:1:overall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10039610/,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
